"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","018ff89e319e",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260211183110/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","11 Feb 2026 18:35:08 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","66","67","68","69","70","71","72","73","74","75","76","77","78","79","81","82","83","84","85","87","88","89","90","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770834908.353,2.582,0.557,89.370,7.326,0.165,46457143.689,60752929.032,8789358.743,0,0,0,0,0,1529081856,3119955968,3404382208,6085816320,8316.749,11605.529,0,34,15.265,5.240,2.230,0.870,3.122,186.691,6.452,4.611,27.440,26.199,7.651,11.046,7.010,3.015,6.816,2.428,9.537,6.683,8.644,12.291,2.432,8.933,14.491,14.404,7.593,8.164,6.861,9.946,9.090,10.988,3.143,3.565,12.589,0.463,14.256,2.324,3.656,4.036,0.079,0.070,0.604,0.050,0.931,0.058,0.215,0.050,1.042,0.790,2.142,0.393,0.347,0.054,2.866,1.621,0.108,0.132,0.112,0.174,0.186,0.269,0.298,0.186,0.108,0.054,0.066,0.194,457.725,234.156,5.240,2.230,0.870,1529081856,3119955968,3404382208,6085816320,0,34,15.265,151.199,105.058,14.801,0,0,1073737728,0,1408,71145,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,16.170,6034.016,18985.356,22374.574,3.966,0.065,0,0,0,0,0,0,0,0
1770834909.354,27.679,4.597,14.374,52.865,0.486,32768,42893312,0,0,672,0,0,0,1629995008,3016028160,3407265792,5983055872,150172,280748,10,31,84,5.240,2.230,0.870,14,20,0,0,0,0,12,4,2,17,0,0,0,0,24,8,0,1,0,0,0,0,0,0,1,0,7,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,192,5.240,2.230,0.870,1629995008,3016028160,3407265792,5983055872,8,30,84,1,96,0,0,0,1073737728,0,1408,71399,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,23523,79856,57348,5.200,0,0,0,0,0,0,0,0,0
1770834910.354,21.440,5.449,24.262,48.524,0.324,32768,59899904,0,0,336,0,0,0,1755422720,2886066176,3411800064,5855068160,189532,359083,10,28,4,5.240,2.230,0.870,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5.240,2.230,0.870,1755422720,2886066176,3411800064,5855068160,9,30,4,1,16,0,0,0,1073737728,0,1408,71399,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,8320,85278,52742,5.500,0,0,0,0,0,0,0,0,0
1770834911.354,21.164,5.234,17.588,55.982,0.033,0,202211328,0,0,336,0,0,0,1984544768,2653429760,3415711744,5624311808,190708,361448,9,27,0,5.240,2.230,0.870,2,2,0,0,0,0,0,0,0,8,1,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5.240,2.230,0.870,1984528384,2653429760,3415728128,5624369152,8,30,0,0,49,0,0,0,1073737728,0,1408,71399,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1407,80089,19575,6.500,0,0,0,0,0,0,0,0,0
1770834912.354,21.224,5.013,14.486,59.245,0.033,0,67108864,0,0,0,0,0,0,1987448832,2646581248,3419656192,5619134464,189941,359860,9,30,0,5.620,2.360,0.920,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5.620,2.360,0.920,1987448832,2646581248,3419656192,5619134464,11,30,0,0,18,0,0,0,1073737728,0,1408,71399,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1104,1954,914,5.800,0,0,0,0,0,0,0,0,0
1770834913.354,21.324,5.128,12.593,60.954,0,0,201981952,0,0,0,0,0,0,1984143360,2644148224,3425378304,5620133888,187522,354709,7,32,0,5.620,2.360,0.920,2,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,5.620,2.360,0.920,1984126976,2644148224,3425394688,5620133888,8,30,0,0,43,0,0,0,1073737728,0,1408,71400,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1578,17951,16066,7.100,0,0,0,0,0,0,0,0,0
1770834914.354,5.391,1.198,14.533,78.625,0.252,0,22937600,0,0,0,0,0,0,1957752832,2669543424,3426373632,5646036992,49154,92618,0,33,1,5.620,2.360,0.920,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,28,5.620,2.360,0.920,1957752832,2669543424,3426373632,5646036992,0,33,1,0,8,0,0,0,1073737728,0,1408,71385,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,596,761,869,2.700,0,0,0,0,0,0,0,0,0
1770834915.354,0.063,0,10.038,89.900,0,0,0,0,0,0,0,0,0,1958010880,2669285376,3426373632,5645803520,705,678,0,33,0,5.620,2.360,0.920,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,5.620,2.360,0.920,1958010880,2669285376,3426373632,5645803520,0,33,0,0,0,0,0,0,1073737728,0,1408,71385,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,65,108,477,0,0,0,0,0,0,0,0,0,0
1770834916.354,0,0.031,6.598,93.371,0,0,0,0,0,0,0,0,0,1956716544,2670579712,3426373632,5647097856,480,493,0,33,0,5.620,2.360,0.920,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5.620,2.360,0.920,1956716544,2670579712,3426373632,5647097856,0,33,0,0,0,0,0,0,1073737728,0,1408,71385,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,17,59,41,0,0,0,0,0,0,0,0,0,0
1770834917.354,0.031,0.031,9.017,90.702,0.218,0,65536,0,0,0,0,0,0,1958866944,2668429312,3426373632,5644947456,568,592,0,34,1,5.170,2.320,0.920,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,5.170,2.320,0.920,1958866944,2668429312,3426373632,5644947456,0,34,1,0,1,0,0,0,1073737728,0,1408,71385,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,957,636,29,0.600,0,0,0,0,0,0,0,0,0
1770834918.354,0,0.031,6.602,93.367,0,0,229376,0,0,0,0,0,0,1961406464,2665889792,3426373632,5642407936,1051,1863,0,33,1,5.170,2.320,0.920,6,2,0,0,365,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5.170,2.320,0.920,1961406464,2665889792,3426373632,5642407936,0,33,1,0,5,0,0,0,1073737728,0,1408,71385,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,450,324,887,2.700,0,0,0,0,0,0,0,0,0
1770834919.354,40.899,10.615,8.288,37.711,2.486,0,296648704,0,0,0,0,0,0,2037633024,2579271680,3436306432,5560320000,97732,279516,26,23,44,5.170,2.320,0.920,2,15,0,1,0,2,0,0,9,0,0,0,0,0,1,4,11,1,5,2,0,0,9,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,5.170,2.320,0.920,2037633024,2579271680,3436306432,5560320000,28,19,44,0,65,0,0,0,1073737728,0,1920,72413,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,44553,72537,42356,7.500,0,0,0,0,0,0,0,0,0
1770834920.354,57.602,13.391,8.111,16.221,4.676,0,521273344,0,0,0,0,0,0,2018058240,2580299776,3454853120,5570555904,130362,387451,51,16,0,5.170,2.320,0.920,2,2,0,0,1,0,0,8,0,0,0,0,0,2,3,4,1,0,8,4,16,2,7,6,0,2,0,2,16,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5.170,2.320,0.920,2018000896,2580299776,3454910464,5570555904,61,14,0,0,121,0,0,0,1073737728,0,1920,72417,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,20639,18553,19952,9.600,0,0,0,0,0,0,0,0,0
1770834921.354,60.134,12.874,7.011,15.902,4.079,0,504594432,0,0,0,0,0,0,1983913984,2603360256,3465936896,5599281152,128441,386022,42,21,0,5.170,2.320,0.920,2,8,2,0,0,0,0,0,2,8,0,0,0,2,2,15,0,0,0,0,0,3,9,6,9,3,0,1,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,5.170,2.320,0.920,1983913984,2603360256,3465936896,5599281152,40,20,0,0,105,0,0,0,1073737728,0,1920,72420,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7049,16287,23269,10,0,0,0,0,0,0,0,0,0
1770834922.354,61.480,12.353,6.542,15.306,4.319,0,352780288,0,0,0,0,0,0,1960087552,2616135680,3476987904,5617901568,125450,385298,3,32,0,6.840,2.720,1.050,2,2,5,1,0,0,2,0,0,4,7,3,2,1,3,0,8,7,0,1,0,3,1,1,2,0,3,0,0,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6.840,2.720,1.050,1960087552,2616135680,3476987904,5617901568,48,16,0,0,82,0,0,0,1073737728,0,1920,72422,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,5092,12524,20115,8.800,0,0,0,0,0,0,0,0,0
