"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","e25d0536e4bc",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260212100518/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","12 Feb 2026 10:09:21 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","25","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","76","77","78","81","83","84","85","87","88","89","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770890961.094,8.623,0.798,83.747,6.373,0.460,16896673.544,60869671.915,2124099.281,0,0,0,0,0,1575305216,2435215360,4008648704,6023405568,11485.246,28405.270,0,33,7.266,2.470,3.760,3.220,2.189,0.484,207.242,4.730,4.052,5.287,3.578,2.332,2.616,4.558,4.550,3.043,3.834,2.047,16.708,1.459,1.784,1.792,4.416,2.862,2.351,4.772,4.207,9.456,1.551,6.412,2.629,3.009,1.451,6.128,1.085,4.589,5.582,4.964,2.624,0.011,0.044,0.030,0.043,0.057,0.451,0.028,0.097,0.027,0.111,0.041,0.102,0.021,0.033,0.902,0.011,0.020,0.092,0.216,0.018,0.352,0.011,0.178,0.214,0.063,279.672,131.225,2.470,3.760,3.220,1575305216,2435215360,4008648704,6023405568,2,33,7.266,52.403,78.630,3.564,0,0,1073737728,0,1344,88233,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,4.311,3600.705,11475.788,12115.907,2.915,0.068,0,0,0,0,0,0,0,0
1770890962.095,26.496,4.562,17.341,51.375,0.226,0,41648128,0,0,672,0,0,0,1673269248,2334613504,4011253760,5923819520,151933,284917,9,30,80,2.470,3.760,3.220,9,0,20,4,2,0,0,0,12,6,0,4,0,0,2,0,5,12,0,1,3,0,0,16,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,183,2.470,3.760,3.220,1673269248,2334613504,4011253760,5923819520,10,30,80,0,90,0,0,0,1073737728,0,1344,88493,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,19838,71721,52048,5.100,0,0,0,0,0,0,0,0,0
1770890963.095,21.533,5.326,17.116,55.992,0.032,0,68943872,0,0,336,0,0,0,1812312064,2190848000,4015972352,5782421504,190991,361887,13,29,0,2.470,3.760,3.220,2,0,2,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2.470,3.760,3.220,1812312064,2190848000,4015972352,5782421504,9,30,0,0,18,0,0,0,1073737728,0,1344,88493,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,6746,96399,64887,5.900,0,0,0,0,0,0,0,0,0
1770890964.094,21.564,5.179,9.870,63.355,0.033,0,202244096,0,0,336,0,0,0,2061021184,1938296832,4019818496,5531541504,191881,363358,9,29,1,2.990,3.850,3.250,2,0,2,0,0,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2.990,3.850,3.250,2060988416,1938296832,4019851264,5531607040,8,31,1,0,53,0,0,0,1073737728,0,1344,88492,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,2537,83264,22600,7.700,0,0,0,0,0,0,0,0,0
1770890965.095,21.556,5.024,13.971,59.417,0.032,0,67108864,0,0,0,0,0,0,2062774272,1932451840,4023873536,5527678976,190514,360257,8,25,1,2.990,3.850,3.250,2,0,2,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,2.990,3.850,3.250,2062774272,1932451840,4023873536,5527699456,9,27,1,0,18,0,0,0,1073737728,0,1344,88492,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1205,13422,11845,4.400,0,0,0,0,0,0,0,0,0
1770890966.095,21.276,5.052,12.273,61.399,0,0,193691648,0,0,0,0,0,0,2057121792,1932951552,4028993536,5530685440,185325,352513,10,29,0,2.990,3.850,3.250,2,0,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,2.990,3.850,3.250,2057121792,1932951552,4028993536,5530685440,8,32,0,0,47,0,0,0,1073737728,0,1344,88493,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1685,6260,4971,6.900,0,0,0,0,0,0,0,0,0
1770890967.095,5.014,1.167,21.791,71.996,0.032,0,22413312,0,0,0,0,0,0,2063216640,1925947392,4029890560,5524340736,45277,85660,0,33,1,2.990,3.850,3.250,2,0,34,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,2.990,3.850,3.250,2063216640,1925947392,4029890560,5524340736,0,33,1,0,10,0,0,0,1073737728,0,1344,88478,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,575,9846,9994,2.400,0,0,0,0,0,0,0,0,0
1770890968.095,0.031,0,8.412,91.557,0,0,0,0,0,0,0,0,0,2063216640,1925947392,4029890560,5524619264,527,533,0,33,0,2.990,3.850,3.250,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2.990,3.850,3.250,2063216640,1925947392,4029890560,5524619264,0,33,0,0,0,0,0,0,1073737728,0,1344,88478,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,49,70,31,0,0,0,0,0,0,0,0,0,0
1770890969.095,0,0,3.503,96.497,0,0,0,0,0,0,0,0,0,2063474688,1925689344,4029890560,5524361216,430,408,0,33,0,2.910,3.820,3.240,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2.910,3.820,3.240,2063474688,1925689344,4029890560,5524361216,0,33,0,0,0,0,0,0,1073737728,0,1344,88478,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,36,63,33,0,0,0,0,0,0,0,0,0,0
1770890970.095,0,0,3.125,96.781,0.094,0,0,0,0,0,0,0,0,2062671872,1926492160,4029890560,5525164032,537,534,0,33,0,2.910,3.820,3.240,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,2.910,3.820,3.240,2062671872,1926492160,4029890560,5525164032,0,33,0,0,0,0,0,0,1073737728,0,1344,88478,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,42,72,35,0,0,0,0,0,0,0,0,0,0
