"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","02c39dedf290",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260212101149/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","12 Feb 2026 10:15:56 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","25","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","76","77","78","81","83","84","85","87","88","89","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770891356.428,11.886,1.046,78.727,7.711,0.630,12218218.004,71923019.857,1526144.037,0,0,0,0,0,1557078016,2354626560,4089708544,6060924928,14711.986,38146.384,0,34,7.527,2.340,6.160,5.260,2.381,0.348,232.609,3.962,3.333,6.257,3.485,2.172,2.614,4.362,4.767,5.890,4.583,2.897,14.391,1.524,1.829,1.788,3.872,2.962,1.969,3.678,3.295,7.139,1.411,4.864,2.307,2.605,1.701,4.789,1.610,4.411,4.866,4.013,2.128,0.008,0.031,0.021,0.031,0.041,0.324,0.020,0.070,0.019,0.080,0.029,0.073,0.015,0.024,0.648,0.008,0.014,0.066,0.155,0.014,0.253,0.008,0.128,0.154,0.046,273.284,132.149,2.340,6.160,5.260,1557078016,2354626560,4089708544,6060924928,0,34,7.527,38.268,85.062,2.562,0,0,1073737728,0,1600,94884,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,3.187,3873.877,11959.872,12406.274,3.273,0.049,0,0,0,0,0,0,0,0
1770891357.429,25.713,4.475,22.049,47.341,0.422,0,44072960,0,0,672,0,0,0,1699127296,2209640448,4092645376,5917020160,151531,285791,6,30,81,2.340,6.160,5.260,14,0,19,0,0,0,0,0,19,0,0,0,28,0,3,0,0,0,0,0,0,0,5,0,3,1,0,0,0,3,0,2,23,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,196,2.340,6.160,5.260,1699127296,2209640448,4092645376,5917020160,9,29,81,0,137,0,0,0,1073737728,0,1536,95147,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,21295,72678,51581,7.200,0,0,0,0,0,0,0,0,0
1770891358.429,21.528,5.041,21.301,52.065,0.065,0,61472768,0,0,336,0,0,0,1827446784,2076696576,4097265664,5786329088,190989,362772,9,30,1,2.340,6.160,5.260,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2.340,6.160,5.260,1827446784,2076696576,4097265664,5786329088,11,29,1,0,16,0,0,0,1073737728,0,1536,95147,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7597,80250,49161,4.700,0,0,0,0,0,0,0,0,0
1770891359.429,21.572,5.263,19.623,53.509,0.032,0,193855488,0,0,336,0,0,0,2065444864,1834778624,4101156864,5546352640,190403,360910,9,28,1,3.030,6.240,5.290,2,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3.030,6.240,5.290,2065444864,1834778624,4101156864,5546352640,8,26,1,0,40,0,0,0,1073737728,0,1536,95147,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,2633,77805,17259,7.600,0,0,0,0,0,0,0,0,0
1770891360.429,21.217,5.109,22.421,51.253,0,0,67108864,0,0,0,0,0,0,2062528512,1833816064,4105015296,5547184128,191410,362643,8,29,0,3.030,6.240,5.290,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3.030,6.240,5.290,2062528512,1833816064,4105015296,5547184128,12,28,0,0,16,0,0,0,1073737728,0,1536,95147,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1191,1910,924,5.300,0,0,0,0,0,0,0,0,0
1770891361.429,21.526,4.643,19.253,54.545,0.032,0,202014720,0,0,0,0,0,0,2073837568,1817260032,4110217216,5533274112,185072,349504,9,30,0,3.030,6.240,5.290,2,0,5,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,3.030,6.240,5.290,2073821184,1817260032,4110233600,5533274112,9,31,0,0,49,0,0,0,1073737728,0,1536,95148,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1484,17893,15578,6.900,0,0,0,0,0,0,0,0,0
1770891362.429,5.335,1.326,22.254,71.086,0,0,24313856,0,0,0,0,0,0,2078470144,1811517440,4111310848,5528215552,47731,89718,0,33,1,3.030,6.240,5.290,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,3.030,6.240,5.290,2078470144,1811517440,4111310848,5528215552,0,33,1,0,10,0,0,0,1073737728,0,1536,95133,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,606,12607,12170,2.900,0,0,0,0,0,0,0,0,0
1770891363.429,0.031,0,22.132,77.837,0,0,0,0,0,0,0,0,0,2080534528,1809453056,4111310848,5526151168,539,457,0,33,0,3.030,6.240,5.290,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3.030,6.240,5.290,2080534528,1809453056,4111310848,5526151168,0,33,0,0,0,0,0,0,1073737728,0,1536,95132,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,52,68,28,0,0,0,0,0,0,0,0,0,0
1770891364.429,0,0,18.987,81.013,0,0,0,0,0,0,0,0,0,2080534528,1809453056,4111310848,5526151168,463,441,0,33,0,2.790,6.140,5.260,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2.790,6.140,5.260,2080534528,1809453056,4111310848,5526151168,0,33,0,0,0,0,0,0,1073737728,0,1536,95132,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,5,31,34,0,0,0,0,0,0,0,0,0,0
1770891365.429,0,0.031,18.758,81.211,0,0,0,0,0,0,0,0,0,2080534528,1809453056,4111310848,5526151168,494,494,0,33,0,2.790,6.140,5.260,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,2.790,6.140,5.260,2080534528,1809453056,4111310848,5526151168,0,33,0,0,0,0,0,0,1073737728,0,1536,95132,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,17,48,36,0,0,0,0,0,0,0,0,0,0
