"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","95be60b203fe",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260212084610/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","12 Feb 2026 08:51:21 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","63","64","65","66","67","68","70","71","72","73","74","75","76","77","79","80","81","82","83","85","86","87","88","89","90","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770886281.252,2.082,0.437,92.021,5.363,0.097,35616392.433,47510744.469,6772904.801,0,0,0,0,0,1686192128,2893266944,3471622144,5943296000,9631.806,14338.549,4,34,11.817,4.830,2.860,1.210,2.440,500.402,4.249,12.850,11.867,9.250,5.520,3.140,4.177,8.017,0.925,14.060,1.705,7.349,4.991,1.540,14.723,2.484,4.234,5.691,3.831,7.795,9.307,3.318,0.688,6.886,7.710,3.223,2.316,1.648,11.937,3.831,26.916,3.175,0.076,0.063,2.183,0.152,0.646,0.155,0.051,0.063,0.320,0.536,0.421,0.859,0.390,0.209,0.067,0.051,0.067,0.095,0.181,0.073,0.070,1.144,0.184,0.095,1.290,0.494,0.158,588.012,388.025,4.830,2.860,1.210,1686179840,2893266944,3471634432,5943300096,3,34,11.817,114.352,82.289,11.379,0,0,1073737728,0,1344,71235,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,10.147,4834.515,15036.791,17441.170,3.212,0.423,0,0,0,0,0,0,0,0
1770886282.252,27.841,8.922,14.393,44.025,4.819,0,25395200,0,0,672,0,0,0,1860042752,2648268800,3541811200,5768060928,210676,391553,13,28,75,4.830,2.860,1.210,8,11773,0,3,2,20,3,2,10,1,0,1,3,0,0,0,0,0,0,23,4,9,4,0,0,0,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7341,6773,4.830,2.860,1.210,1859694592,2648268800,3542159360,5768060928,12,28,75,0,118,0,0,0,1073737728,0,1280,71469,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,21437,106499,60296,7.900,0,0,0,0,0,0,0,0,0
1770886283.252,22.874,10.036,25.644,36.527,4.920,0,35782656,0,0,336,0,0,0,1969414144,2438348800,3639771136,5656190976,235954,446460,13,29,0,4.830,2.860,1.210,2,11323,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6411,5905,4.830,2.860,1.210,1969410048,2438348800,3639775232,5656190976,13,30,0,0,10,0,0,0,1073737728,0,1280,71469,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,9793,91311,47353,2,0,0,0,0,0,0,0,0,0
1770886284.252,22.131,9.377,21.934,42.295,4.262,0,32243712,0,0,336,0,0,0,2225029120,2085416960,3734638592,5397942272,231506,435617,11,30,1,4.830,2.860,1.210,2,11928,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6590,6058,4.830,2.860,1.210,2225033216,2085416960,3734634496,5397942272,9,32,1,0,10,0,0,0,1073737728,0,1280,71468,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4496,111277,26759,3.100,0,0,0,0,0,0,0,0,0
1770886285.252,23.681,10,19.609,41.564,5.147,0,35782656,0,0,0,0,0,0,2247139328,1954242560,3840634880,5373005824,243898,461890,15,27,1,4.830,2.860,1.210,2,11495,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6399,5901,4.830,2.860,1.210,2247135232,1954242560,3840638976,5373005824,10,27,1,0,10,0,0,0,1073737728,0,1280,71468,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1634,40599,12795,3,0,0,0,0,0,0,0,0,0
1770886286.252,23.499,9.856,19.680,42.298,4.667,0,174981120,0,0,0,0,0,0,2282491904,1811914752,3944304640,5334544384,246619,465808,12,32,0,5.720,3.080,1.290,2,11705,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,8,4,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6972,6436,5.720,3.080,1.290,2282143744,1811914752,3944652800,5334544384,13,27,0,0,42,0,0,0,1073737728,0,1280,71468,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1674,43101,16826,6.200,0,0,0,0,0,0,0,0,0
1770886287.252,7.750,4.598,18.161,68.407,1.084,0,10878976,0,0,0,0,0,0,2317688832,1748848640,3971510272,5298479104,183862,322959,1,33,1,5.720,3.080,1.290,2,17835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11649,11015,5.720,3.080,1.290,2317688832,1748848640,3971510272,5298479104,1,33,1,0,6,0,0,0,1073737728,0,1280,71453,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,627,40647,17968,1.900,0,0,0,0,0,0,0,0,0
1770886288.252,3.553,2.993,7.829,85.428,0.197,0,0,0,0,0,0,0,0,2285432832,1779548160,3972956160,5330575360,167272,286096,6,33,0,5.720,3.080,1.290,2,19625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12896,12071,5.720,3.080,1.290,2285428736,1779548160,3972960256,5330575360,3,33,0,0,0,0,0,0,1073737728,0,1280,71453,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,190,17048,16500,0,0,0,0,0,0,0,0,0,0
1770886289.252,3.589,2.865,13.698,79.453,0.395,0,0,0,0,0,0,0,0,2275516416,1788162048,3974373376,5340807168,168286,286979,3,33,0,5.720,3.080,1.290,2,19366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13250,12366,5.720,3.080,1.290,2275512320,1788162048,3974377472,5340807168,3,33,0,0,0,0,0,0,1073737728,0,1280,71453,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,6,17791,17376,0,0,0,0,0,0,0,0,0,0
1770886290.252,3.490,3.029,8.100,85.183,0.198,0,0,0,0,0,0,0,0,2273820672,1788129280,3975798784,5342253056,168164,286796,1,33,0,5.720,3.080,1.290,2,19250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13020,12214,5.720,3.080,1.290,2273816576,1788129280,3975802880,5342253056,3,33,0,0,0,0,0,0,1073737728,0,1280,71452,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,177,17363,16822,0,0,0,0,0,0,0,0,0,0
1770886291.252,3.330,2.967,13.551,79.789,0.363,0,229376,0,0,0,0,0,0,2271662080,1788805120,3977220096,5344542720,167537,285985,4,33,1,5.660,3.110,1.310,6,19203,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12925,12081,5.660,3.110,1.310,2271645696,1788805120,3977220096,5344550912,2,33,1,0,2,0,0,0,1073737728,0,1280,71452,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,266,17110,16591,1.800,0,0,0,0,0,0,0,0,0
1770886292.252,16.182,6.113,56.195,19.614,1.896,0,1338015744,0,0,0,0,0,0,2306183168,1655603200,4073197568,5308698624,167846,312250,4,1,37,5.660,3.110,1.310,2,16471,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8968,8082,5.660,3.110,1.310,2306170880,1655603200,4073193472,5308715008,3,1,37,0,199,0,0,0,1073737728,0,1856,72479,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,13625,59129,27248,8,0,0,0,0,0,0,0,0,0
1770886293.252,17.139,6.810,71.163,2.737,2.151,0,629276672,0,0,0,0,0,0,2330632192,1510748160,4190244864,5282856960,167720,316377,4,1,0,5.660,3.110,1.310,2,16484,0,0,0,6,0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,1,0,1,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8121,7287,5.660,3.110,1.310,2330628096,1510748160,4190248960,5282856960,3,1,0,0,84,0,0,0,1073737728,0,1856,72479,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,9325,64112,33889,5.700,0,0,0,0,0,0,0,0,0
1770886294.252,18.347,6.864,69.714,2.668,2.407,0,1031274496,0,0,0,0,0,0,2329026560,1386455040,4312711168,5282668544,162215,307970,20,1,2,5.660,3.110,1.310,2,15634,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,7,3,10,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7572,6699,5.660,3.110,1.310,2330054656,1385455616,4312682496,5281677312,28,2,2,0,152,0,0,0,1073737728,0,1856,72480,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,8758,58216,26479,9.400,0,0,0,0,0,0,0,0,0
1770886295.252,18.119,6.758,70.258,2.742,2.122,0,1196752896,0,0,0,0,0,0,2299904000,1289039872,4435906560,5310042112,165153,311751,19,1,0,5.660,3.110,1.310,2,16292,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,9,1,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7809,7015,5.660,3.110,1.310,2299559936,1289039872,4436250624,5310042112,24,1,0,0,142,0,0,0,1073737728,0,1856,72480,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7507,50933,26251,6,0,0,0,0,0,0,0,0,0
1770886296.252,19.138,7.054,68.648,2.809,2.351,0,1306624000,0,0,0,0,0,0,2292011008,1167233024,4562161664,5316534272,166193,315712,3,1,0,6.650,3.360,1.400,2,15872,0,0,0,0,17,11,0,0,0,0,0,0,5,5,4,0,0,1,0,0,0,0,0,0,0,7,5,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8047,7196,6.650,3.360,1.400,2292006912,1167233024,4562165760,5316534272,3,1,0,0,190,0,0,0,1073737728,0,1856,72481,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,6360,55932,29175,10.900,0,0,0,0,0,0,0,0,0
1770886297.252,18.811,7.180,68.746,2.827,2.437,0,660733952,0,0,0,0,0,0,2308583424,1022332928,4686843904,5297926144,162089,306444,2,1,0,6.650,3.360,1.400,2,15739,0,2,0,0,0,0,0,0,1,0,2,0,0,2,1,2,12,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7749,6934,6.650,3.360,1.400,2308583424,1022332928,4686843904,5297926144,2,1,0,0,86,0,0,0,1073737728,0,1856,72481,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,5790,51314,20044,8.800,0,0,0,0,0,0,0,0,0
1770886298.254,17.776,6.621,71.005,2.511,2.087,0,1133969408,0,0,0,0,0,0,2314170368,904617984,4795854848,5292183552,163509,306896,17,2,0,6.650,3.360,1.400,2,16343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7960,7090,6.650,3.360,1.400,2313826304,904617984,4796198912,5292183552,23,2,0,0,130,0,0,0,1073737728,0,1856,72482,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,3737,46523,23356,9.600,0,0,0,0,0,0,0,0,0
1770886299.253,19.909,7.057,67.854,2.687,2.493,0,721747968,0,0,0,0,0,0,2323832832,772120576,4915732480,5280690176,164832,310201,15,1,0,6.650,3.360,1.400,2,15392,0,0,0,2,3,0,2,1,7,1,8,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7655,6820,6.650,3.360,1.400,2324074496,771870720,4915740672,5280440320,18,1,0,0,95,0,0,0,1073737728,0,1856,72483,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4252,53654,23919,10.200,0,0,0,0,0,0,0,0,0
1770886300.253,19.753,7.071,68.051,2.757,2.368,0,1201504256,0,0,0,0,0,0,2311184384,664694784,5032398848,5292081152,167363,314137,2,1,0,6.650,3.360,1.400,2,15849,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7974,7071,6.650,3.360,1.400,2311180288,664694784,5032402944,5292081152,2,1,0,0,150,0,0,0,1073737728,0,1856,72483,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,3813,49050,23810,10,0,0,0,0,0,0,0,0,0
1770886301.253,20.761,6.899,67.556,2.441,2.343,0,1270120448,0,0,0,0,0,0,2315739136,534380544,5154779136,5285781504,162814,306568,13,2,0,7.240,3.530,1.470,2,15370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,0,1,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7716,6814,7.240,3.530,1.470,2315743232,534380544,5154770944,5285793792,11,1,0,0,145,0,0,0,1073737728,0,1856,72483,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4154,50694,23038,10.700,0,0,0,0,0,0,0,0,0
1770886302.253,20.215,6.880,67.884,2.771,2.250,0,1201569792,0,0,0,0,0,0,2325721088,403288064,5272965120,5273882624,161156,304851,4,1,0,7.240,3.530,1.470,2,15704,0,0,1,5,0,0,0,2,12,1,7,0,0,0,0,0,7,0,0,0,0,13,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7387,6581,7.240,3.530,1.470,2325372928,403288064,5273313280,5273882624,3,1,0,0,167,0,0,0,1073737728,0,1856,72485,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4239,52739,26452,10.900,0,0,0,0,0,0,0,0,0
