"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","f3b6567ff0f5",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260212072057/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","12 Feb 2026 07:25:56 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","68","69","70","72","74","75","76","77","79","80","81","82","83","84","86","88","89","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770881156.518,2.082,0.395,91.499,5.915,0.109,36927117.009,48446469.932,7017015.271,0,0,0,0,0,1546227712,3033923584,3470782464,6080143360,6783.669,9413.593,0,33,12.352,2.870,2.430,1.080,2.495,148.769,18.826,6.224,1.623,11.684,2.554,5.434,18.832,17.654,35.226,1.106,6.954,5.720,10.519,1.511,1.988,3.304,8.021,4.410,5.388,3.288,3.778,3.528,2.998,2.195,6.717,1.692,1.567,7.432,5.473,4.094,5.430,2.284,0.043,0.039,0.095,0.046,0.036,0.135,0.049,0.039,0.181,0.046,1.442,0.095,0.234,0.622,0.066,0.046,0.464,0.138,1.606,1.461,2.215,0.039,0.053,1.109,347.877,179.400,2.870,2.430,1.080,1546227712,3033923584,3470782464,6080143360,0,33,12.352,117.473,85.400,11.845,0,0,1073737728,0,1216,71206,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,10.519,4937.539,15341.900,17940.847,3.271,0.423,0,0,0,0,0,0,0,0
1770881157.518,28.317,4.595,11.424,55.178,0.485,32768,41254912,0,0,672,0,0,0,1654415360,2922827776,3473592320,5970042880,149229,279318,11,29,79,2.870,2.430,1.080,15,20,0,0,2,0,1,0,0,7,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,6,0,4,2,1,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,142,2.870,2.430,1.080,1654415360,2922827776,3473592320,5970042880,8,29,79,1,93,0,0,0,1073737728,0,1216,71438,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,23872,85865,61265,6.500,0,0,0,0,0,0,0,0,0
1770881158.518,21.248,5.296,16.407,56.823,0.227,0,52756480,0,0,336,0,0,0,1762856960,2810146816,3477831680,5859614720,189327,359390,10,28,1,3.440,2.560,1.130,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.440,2.560,1.130,1762856960,2810146816,3477831680,5859614720,8,30,1,0,14,0,0,0,1073737728,0,1216,71437,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7965,82458,50213,4.200,0,0,0,0,0,0,0,0,0
1770881159.518,21.238,5.212,15.928,57.590,0.033,0,193789952,0,0,336,0,0,0,2008870912,2558992384,3483082752,5611642880,191592,363764,10,27,0,3.440,2.560,1.130,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3.440,2.560,1.130,2008870912,2558992384,3483082752,5611642880,9,28,0,0,43,0,0,0,1073737728,0,1216,71437,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1506,76378,15824,7.100,0,0,0,0,0,0,0,0,0
1770881160.518,21.029,5.176,13.281,60.514,0,0,58720256,0,0,0,0,0,0,1998069760,2565935104,3486941184,5620453376,191754,363579,10,29,0,3.440,2.560,1.130,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3.440,2.560,1.130,1998069760,2565935104,3486941184,5620453376,8,31,0,0,15,0,0,0,1073737728,0,1216,71437,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1168,1991,991,5,0,0,0,0,0,0,0,0,0
1770881161.518,21.131,5.040,14.701,58.514,0.614,0,193626112,0,0,0,0,0,0,1963794432,2596356096,3490816000,5652762624,187276,354527,8,30,0,3.440,2.560,1.130,2,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,3.440,2.560,1.130,1963794432,2596356096,3490816000,5652762624,9,30,0,0,42,0,0,0,1073737728,0,1216,71438,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1159,17963,16453,8.200,0,0,0,0,0,0,0,0,0
1770881162.518,5.310,1.233,23.357,70.101,0,0,24182784,0,0,0,0,0,0,1995841536,2563231744,3491893248,5620412416,48575,91392,0,33,1,3.440,2.560,1.130,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,29,3.440,2.560,1.130,1995841536,2563231744,3491893248,5620412416,0,33,1,0,10,0,0,0,1073737728,0,1216,71423,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,637,7463,868,2.100,0,0,0,0,0,0,0,0,0
1770881163.518,0.031,0,11.851,88.086,0.031,0,0,0,0,0,0,0,0,1996099584,2562973696,3491893248,5620154368,555,549,0,33,0,3.170,2.510,1.120,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,3.170,2.510,1.120,1996099584,2562973696,3491893248,5620154368,0,33,0,0,0,0,0,0,1073737728,0,1216,71423,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,59,81,32,0,0,0,0,0,0,0,0,0,0
1770881164.518,0,0,9.381,90.619,0,0,0,0,0,0,0,0,0,1996099584,2562973696,3491893248,5620154368,416,427,1,33,0,3.170,2.510,1.120,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,3.170,2.510,1.120,1996099584,2562973696,3491893248,5620154368,1,33,0,0,0,0,0,0,1073737728,0,1216,71423,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,40,82,34,0,0,0,0,0,0,0,0,0,0
1770881165.518,0.031,0.031,6.663,91.949,1.326,0,0,0,0,0,0,0,0,1996099584,2562973696,3491893248,5620154368,589,619,0,33,0,3.170,2.510,1.120,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,3.170,2.510,1.120,1996099584,2562973696,3491893248,5620154368,0,33,0,0,0,0,0,0,1073737728,0,1216,71423,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,47,77,36,0,0,0,0,0,0,0,0,0,0
1770881166.518,0,0.031,3.628,96.340,0,0,0,0,0,0,0,0,0,1997127680,2561945600,3491893248,5619126272,1107,2019,0,33,1,3.170,2.510,1.120,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3.170,2.510,1.120,1997127680,2561945600,3491893248,5619126272,0,33,1,0,0,0,0,0,1073737728,0,1216,71421,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,307,268,95,1,0,0,0,0,0,0,0,0,0
1770881167.518,39.349,10.619,7.491,38.464,4.077,0,303792128,0,0,0,0,0,0,2068221952,2478673920,3503644672,5540966400,98737,284837,48,14,40,3.170,2.510,1.120,2,15,3,0,0,2,0,6,0,6,0,0,2,0,0,2,5,9,0,0,0,2,0,0,0,0,0,2,4,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,3.170,2.510,1.120,2068221952,2478673920,3503644672,5540966400,51,14,40,0,68,0,0,0,1073737728,0,1664,72449,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,45026,52477,29792,8.600,0,0,0,0,0,0,0,0,0
1770881168.518,55.325,13.195,8.451,16.337,6.692,0,513835008,0,0,0,0,0,0,2045902848,2486046720,3518603264,5556170752,124410,361698,36,21,1,7,3.320,1.390,2,2,2,11,14,4,4,1,0,0,0,0,3,0,4,1,1,0,2,0,2,2,0,0,1,0,0,3,3,7,1,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,3.320,1.390,2045902848,2486046720,3518603264,5556170752,33,22,1,0,128,0,0,0,1073737728,0,1728,72453,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,20121,18521,25139,10.700,0,0,0,0,0,0,0,0,0
1770881169.518,56.944,12.554,6.510,15.189,8.803,0,336560128,0,0,0,0,0,0,2015256576,2503872512,3531423744,5580570624,109773,315784,37,21,0,7,3.320,1.390,2,6,6,0,0,0,2,4,0,1,0,5,2,1,8,4,4,5,0,2,0,2,0,1,0,3,3,1,1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,7,3.320,1.390,2015256576,2503872512,3531423744,5580570624,31,24,0,0,83,0,0,0,1073737728,0,1728,72455,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7471,11550,13567,9.200,0,0,0,0,0,0,0,0,0
1770881170.518,52.992,10.742,6.553,14.213,15.500,0,453181440,0,0,0,0,0,0,1996062720,2513211392,3541278720,5594968064,94577,277420,54,13,0,7,3.320,1.390,2,4,4,0,6,0,1,3,0,0,3,0,0,0,15,8,0,2,0,2,2,0,0,0,2,0,0,0,6,3,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,3.320,1.390,1996062720,2513211392,3541278720,5594968064,52,16,0,0,105,0,0,0,1073737728,0,1728,72458,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4735,14763,20316,9.200,0,0,0,0,0,0,0,0,0
1770881171.518,54.838,10.727,5.980,13.822,14.633,0,327581696,0,0,0,0,0,0,1988296704,2509901824,3552354304,5597126656,98038,309417,49,18,0,7,3.320,1.390,2,2,0,1,6,0,7,7,1,0,0,2,2,2,0,0,2,0,0,0,0,0,9,0,4,2,0,6,1,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,3.320,1.390,1988296704,2509901824,3552354304,5597126656,43,17,0,0,83,0,0,0,1073737728,0,1728,72460,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4516,11088,12312,9.400,0,0,0,0,0,0,0,0,0
1770881172.518,63.576,11.804,5.506,13.892,5.222,0,481001472,0,0,0,0,0,0,1969938432,2513145856,3567468544,5608124416,118770,376137,40,18,0,7,3.320,1.390,2,2,0,0,17,4,2,1,0,6,0,0,9,7,0,15,0,1,1,3,0,0,0,0,0,0,2,0,8,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,3.320,1.390,1969938432,2513145856,3567468544,5608124416,38,20,0,0,146,0,0,0,1073737728,0,1728,72463,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,6662,16405,19720,9.500,0,0,0,0,0,0,0,0,0
1770881173.518,64.909,11.456,4.771,13.371,5.493,0,327581696,0,0,0,0,0,0,1915916288,2556014592,3578593280,5656858624,116388,388940,31,5,0,10.920,4.190,1.680,2,5,1,0,0,8,1,2,0,1,6,0,0,0,0,4,1,4,4,6,0,4,0,0,2,1,0,0,5,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,10.920,4.190,1.680,1915899904,2556014592,3578609664,5656858624,31,4,0,0,81,0,0,0,1073737728,0,1728,72465,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,4441,18304,17026,7.900,0,0,0,0,0,0,0,0,0
