"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ad1b4bff49e6",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260108062914/vertx-web-kotlinx-postgresql/db/stats.txt",,,,"Date:","08 Jan 2026 06:38:09 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","66","67","68","69","71","72","74","75","76","77","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1767854289.879,1.205,0.223,90.878,7.479,0.215,8850421.728,34202174.637,3930128.864,0,0,0,0,0,1527676928,3215056896,3317297152,6043394048,4297.919,6127.384,0,34,10.536,1.630,2.240,1.230,1.652,9.738,3.446,0.809,1.207,9.683,4.011,0.471,1.394,1.588,3.466,3.387,3.118,2.105,0.565,1.876,1.931,3.952,2.397,1.146,2.069,1.359,1.025,1.882,3.739,0.493,0.569,3.266,0.279,0.337,3.008,3.866,2.920,1.027,0.099,0.127,0.046,0.169,0.031,0.238,0.706,0.578,0.031,0.035,0.037,0.116,0.029,0.174,0.238,0.226,0.086,1.020,0.270,1.210,0.037,0.039,0.053,0.026,0.079,0.090,0.066,80.630,73.212,1.630,2.240,1.230,1527676928,3215056896,3317297152,6043394048,0,34,10.536,32.566,42.788,6.589,0,0,1073737728,0,1344,50455,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,4.893,3143.740,7992.125,9510.589,1.738,0.046,0,0,0,0,0,0,0,0
1767854290.880,18.247,5.788,14.781,61.086,0.098,0,4194304,0,0,672,0,0,0,1588690944,3153805312,3317387264,5982396416,204635,388235,9,28,66,2.860,2.480,1.310,12,20,0,22,3,0,2,0,5,0,1,0,0,0,0,0,4,1,0,0,0,2,0,21,1,4,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,186,2.860,2.480,1.310,1588690944,3153805312,3317387264,5982396416,9,31,66,0,89,0,0,0,1073737728,0,1344,50686,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,6886,39049,21305,2,0,0,0,0,0,0,0,0,0
1767854291.880,18.553,6.579,20.757,54.112,0,0,0,0,0,336,0,0,0,1643311104,3099185152,3317387264,5927776256,244146,465968,11,30,0,2.860,2.480,1.310,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.860,2.480,1.310,1643311104,3099185152,3317387264,5927776256,8,27,0,0,0,0,0,0,1073737728,0,1344,50686,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,609,35434,21046,0,0,0,0,0,0,0,0,0,0
1767854292.880,18.376,6.838,36.621,38.133,0.033,0,0,0,0,336,0,0,0,1703333888,3039162368,3317387264,5867753472,242451,462531,8,26,1,2.860,2.480,1.310,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,2.860,2.480,1.310,1703333888,3039162368,3317387264,5867753472,8,28,1,0,0,0,0,0,1073737728,0,1344,50685,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,202,33431,16859,0,0,0,0,0,0,0,0,0,0
1767854293.880,18.382,6.643,12.299,62.644,0.033,0,0,0,0,0,0,0,0,1707900928,3034595328,3317387264,5863186432,244251,466749,9,29,0,2.860,2.480,1.310,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,2.860,2.480,1.310,1707900928,3034595328,3317387264,5863186432,9,32,0,0,0,0,0,0,1073737728,0,1344,50685,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,53,25205,24171,0,0,0,0,0,0,0,0,0,0
1767854294.880,18.382,6.610,19.138,55.870,0,0,0,0,0,0,0,0,0,1791619072,2950877184,3317387264,5779468288,244133,466343,9,29,0,2.860,2.480,1.310,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,2.860,2.480,1.310,1791619072,2950877184,3317387264,5779468288,8,29,0,0,0,0,0,0,1073737728,0,1344,50685,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,48,27280,5229,0,0,0,0,0,0,0,0,0,0
1767854295.880,4.527,1.425,17.727,76.322,0,0,458752,0,0,0,0,0,0,1850372096,2892124160,3317387264,5720715264,60289,114786,0,33,1,2.630,2.440,1.310,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,2.630,2.440,1.310,1850372096,2892124160,3317387264,5720715264,0,33,1,0,2,0,0,0,1073737728,0,1344,50670,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,273,13186,1785,1,0,0,0,0,0,0,0,0,0
1767854296.880,0.031,0.031,8.769,90.578,0.591,0,0,0,0,0,0,0,0,1851133952,2891362304,3317387264,5719953408,572,676,0,33,1,2.630,2.440,1.310,6,2,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,2.630,2.440,1.310,1851133952,2891362304,3317387264,5719953408,0,33,1,0,0,0,0,0,1073737728,0,1344,50670,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,106,99,102,0.100,0,0,0,0,0,0,0,0,0
1767854297.880,0.031,0,6.256,93.713,0,0,0,0,0,0,0,0,0,1855234048,2887262208,3317387264,5715853312,667,660,0,33,2,2.630,2.440,1.310,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2.630,2.440,1.310,1855234048,2887262208,3317387264,5715853312,0,33,2,0,0,0,0,0,1073737728,0,1344,50670,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,764,536,499,0,0,0,0,0,0,0,0,0,0
1767854298.880,0.031,0.031,5.689,94.248,0,0,0,0,0,0,0,0,0,1854705664,2887790592,3317387264,5716389888,567,554,0,33,0,2.630,2.440,1.310,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,2.630,2.440,1.310,1854705664,2887790592,3317387264,5716389888,0,33,0,0,0,0,0,0,1073737728,0,1344,50670,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,1,48,44,0,0,0,0,0,0,0,0,0,0
