"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ad1b4bff49e6",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260108062914/vertx-web-kotlinx-postgresql/fortune/stats.txt",,,,"Date:","08 Jan 2026 06:44:15 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","66","67","68","69","71","72","74","75","76","77","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1767854655.654,19.120,6.811,58.408,14.454,1.208,5297119.282,57728607.778,2352712.692,0,0,0,0,0,2653536256,2092470272,3312611328,4917452800,49352.919,239768.839,0,34,7.395,33.230,29.880,14.850,1.991,9.086,2.399,0.878,1.278,6.125,2.732,0.676,1.214,1.269,2.514,2.394,2.106,1.564,0.671,1.530,1.532,2.820,1.814,1.055,1.567,1.120,0.986,1.507,2.528,0.752,0.771,2.280,0.695,0.543,2.138,2.658,2.054,0.931,0.059,0.076,0.027,0.101,0.019,0.143,0.423,0.346,0.019,0.021,0.022,0.069,0.019,0.104,0.143,0.135,0.052,0.610,0.161,0.724,0.022,0.023,0.032,0.015,0.047,0.054,0.041,54.301,48.976,33.230,29.880,14.850,2653536256,2092470272,3312611328,4917452800,0,34,7.395,19.491,38.818,3.946,0,0,1073737728,0,1344,50567,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,2.931,2257.214,13624.595,14233.609,2.185,0.028,0,0,0,0,0,0,0,0
1767854656.654,17.929,5.408,20.649,55.949,0.066,0,5406720,0,0,672,0,0,0,2661859328,2083966976,3312726016,4909113344,203874,387073,11,30,72,33.230,29.880,14.850,10,20,0,0,0,0,12,3,1,10,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,5,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,154,33.230,29.880,14.850,2661859328,2083966976,3312726016,4909113344,9,30,72,0,107,0,0,0,1073737728,0,1472,50813,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4850,33401,33860,2.300,0,0,0,0,0,0,0,0,0
1767854657.654,18.725,6.078,23.160,52.004,0.033,0,0,0,0,336,0,0,0,2642399232,2103427072,3312726016,4928577536,230928,439688,9,27,1,33.230,29.880,14.850,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,33.230,29.880,14.850,2642399232,2103427072,3312726016,4928577536,9,27,1,0,0,0,0,0,1073737728,0,1472,50812,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,783,33184,38134,0,0,0,0,0,0,0,0,0,0
1767854658.654,18.647,6.238,17.400,57.715,0,0,7831552,0,0,336,0,0,0,2633011200,2113609728,3311939584,4938223616,231600,441410,8,29,1,33.230,29.880,14.850,2,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,33.230,29.880,14.850,2633011200,2113609728,3311939584,4938223616,8,27,1,0,126,0,0,0,1073737728,0,1472,50808,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,43,29913,33050,13.700,0,0,0,0,0,0,0,0,0
1767854659.654,18.689,6.262,15.443,59.607,0,0,0,0,0,0,0,0,0,2616541184,2130079744,3311939584,4954693632,232856,444079,9,26,0,33.230,29.880,14.850,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,33.230,29.880,14.850,2616541184,2130079744,3311939584,4954693632,9,30,0,0,0,0,0,0,1073737728,0,1472,50808,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,47,26649,32257,0,0,0,0,0,0,0,0,0,0
1767854660.654,18.621,6.174,18.851,56.322,0.033,0,0,0,0,0,0,0,0,2593095680,2153525248,3311939584,4978171904,230443,439106,9,29,0,31.530,29.580,14.830,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,31.530,29.580,14.830,2593095680,2153525248,3311939584,4978171904,9,31,0,0,0,0,0,0,1073737728,0,1472,50808,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,56,30501,35466,0,0,0,0,0,0,0,0,0,0
1767854661.654,3.694,1.231,23.776,71.298,0,0,0,0,0,0,0,0,0,2584936448,2161684480,3311939584,4986331136,47913,90770,0,33,1,31.530,29.580,14.830,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,31.530,29.580,14.830,2584936448,2161684480,3311939584,4986331136,0,33,1,0,0,0,0,0,1073737728,0,1472,50793,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,236,5518,7991,0,0,0,0,0,0,0,0,0,0
1767854662.655,0.031,0,7.096,92.873,0,0,0,0,0,0,0,0,0,2584936448,2161684480,3311939584,4986331136,415,404,0,33,0,31.530,29.580,14.830,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,31.530,29.580,14.830,2584936448,2161684480,3311939584,4986331136,0,33,0,0,0,0,0,0,1073737728,0,1472,50793,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,27,35,0,0,0,0,0,0,0,0,0,0
1767854663.655,0.030,0,6.058,91.233,2.679,0,0,0,0,0,0,0,0,2584936448,2161684480,3311939584,4986331136,509,471,0,33,0,31.530,29.580,14.830,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,31.530,29.580,14.830,2584936448,2161684480,3311939584,4986331136,0,33,0,0,0,0,0,0,1073737728,0,1472,50793,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,31,28,0,0,0,0,0,0,0,0,0,0
1767854664.654,0.376,0.063,12.132,87.304,0.125,0,491520,0,0,0,0,0,0,2588786688,2157834240,3311939584,4982489088,3570,5396,0,33,0,31.530,29.580,14.830,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,31.530,29.580,14.830,2588786688,2157834240,3311939584,4982489088,0,33,0,0,2,0,0,0,1073737728,0,1472,50793,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,865,1076,1132,1,0,0,0,0,0,0,0,0,0
