"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ad1b4bff49e6",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260108062914/vertx-web-kotlinx-postgresql/query/stats.txt",,,,"Date:","08 Jan 2026 06:40:23 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","66","67","68","69","71","72","74","75","76","77","78","79","80","81","83","84","85","86","87","88","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1767854423.235,9.811,4.172,75.244,10.241,0.533,7111349.853,27522821.643,3157874.526,0,0,0,0,0,1937735680,2804563968,3317383168,5633503232,28512.786,178721.717,0,34,8.981,48.620,19.550,7.710,1.804,9.422,2.769,0.688,1.059,7.785,3.229,0.385,1.129,1.294,2.876,2.728,2.506,1.698,0.454,1.507,1.586,3.177,1.930,0.931,1.662,1.095,0.824,1.568,3.021,0.424,0.504,2.636,0.265,0.271,2.459,3.106,2.347,0.827,0.080,0.102,0.037,0.136,0.025,0.192,0.567,0.464,0.025,0.028,0.029,0.093,0.024,0.140,0.192,0.181,0.069,0.819,0.217,0.973,0.029,0.031,0.043,0.021,0.063,0.072,0.053,67.762,61.361,48.620,19.550,7.710,1937735680,2804563968,3317383168,5633503232,0,34,8.981,26.167,35.044,5.294,0,0,1073737728,0,1408,50463,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,3.933,2609.133,9639.395,10688.614,1.446,0.037,0,0,0,0,0,0,0,0
1767854424.235,18.487,6.286,18.891,56.202,0.134,0,5242880,65536,0,672,0,0,0,1967767552,2774257664,3317493760,5603414016,200146,378197,8,27,69,48.620,19.550,7.710,14,20,0,0,12,13,0,0,0,10,0,0,4,2,1,3,1,0,17,0,0,0,0,0,0,0,3,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,194,166,48.620,19.550,7.710,1967767552,2774257664,3317493760,5603414016,9,26,69,0,105,1,0,0,1073737728,0,1536,50706,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,8931,12796,10745,1.700,0,0,0,0,0,0,0,0,0
1767854425.235,21.111,6.610,16.804,55.442,0.033,0,0,0,0,336,0,0,0,1966415872,2775609344,3317493760,5604765696,224730,426051,11,28,0,45.530,19.400,7.720,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,45.530,19.400,7.720,1966415872,2775609344,3317493760,5604765696,8,32,0,0,0,0,0,0,1073737728,0,1536,50705,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,87,1421,1829,0,0,0,0,0,0,0,0,0,0
1767854426.235,21.626,6.024,11.521,60.829,0,0,1769472,0,0,336,0,0,0,1965776896,2776248320,3317493760,5605404672,226553,429406,8,29,0,45.530,19.400,7.720,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,45.530,19.400,7.720,1965776896,2776248320,3317493760,5605404672,9,31,0,0,2,0,0,0,1073737728,0,1536,50704,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,42,1203,1187,0,0,0,0,0,0,0,0,0,0
1767854427.235,21.294,6.174,11.720,60.812,0,0,0,0,0,0,0,0,0,1965776896,2776248320,3317493760,5605404672,224876,426122,11,28,0,45.530,19.400,7.720,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,45.530,19.400,7.720,1965776896,2776248320,3317493760,5605404672,9,28,0,0,0,0,0,0,1073737728,0,1536,50704,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9,807,802,0,0,0,0,0,0,0,0,0,0
1767854428.235,21.009,6.497,13.522,58.971,0,0,0,0,0,0,0,0,0,1960243200,2781782016,3317493760,5610938368,226450,429091,9,29,0,45.530,19.400,7.720,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,45.530,19.400,7.720,1960243200,2781782016,3317493760,5610938368,8,28,0,0,0,0,0,0,1073737728,0,1536,50704,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,51,1234,1715,0,0,0,0,0,0,0,0,0,0
1767854429.235,4.110,1.454,10.939,83.465,0.032,0,2588672,0,0,0,0,0,0,1958477824,2783547392,3317493760,5612707840,47559,89666,0,33,1,45.530,19.400,7.720,2,37,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,45.530,19.400,7.720,1958477824,2783547392,3317493760,5612707840,0,33,1,0,7,0,0,0,1073737728,0,1536,50689,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,174,465,802,0.900,0,0,0,0,0,0,0,0,0
1767854430.235,0.031,0.031,4.597,95.341,0,0,589824,0,0,0,0,0,0,1958477824,2783547392,3317493760,5612707840,635,755,0,33,0,41.880,19.070,7.680,2,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,41.880,19.070,7.680,1958477824,2783547392,3317493760,5612707840,0,33,0,0,24,0,0,0,1073737728,0,1536,50689,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,34,34,3.200,0,0,0,0,0,0,0,0,0
1767854431.236,0.250,0,4.560,95.097,0.094,0,0,0,0,0,0,0,0,1958477824,2783547392,3317493760,5612707840,530,460,0,33,0,41.880,19.070,7.680,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,41.880,19.070,7.680,1958477824,2783547392,3317493760,5612707840,0,33,0,0,0,0,0,0,1073737728,0,1536,50689,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5,32,26,0,0,0,0,0,0,0,0,0,0
1767854432.236,0.031,0,2.941,96.996,0.031,0,0,0,0,0,0,0,0,1958477824,2783547392,3317493760,5612740608,647,1109,0,33,0,41.880,19.070,7.680,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,41.880,19.070,7.680,1958477824,2783547392,3317493760,5612740608,0,33,0,0,0,0,0,0,1073737728,0,1536,50689,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,7,95,102,0,0,0,0,0,0,0,0,0,0
