"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","889b736f7179",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260110063035/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","10 Jan 2026 06:45:27 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768027527.856,7.266,2.204,84.919,5.073,0.537,4722916.768,23267125.696,952484.781,0,0,0,0,0,2601422848,2174468096,3281448960,5002428416,20785.134,70648.873,0,34,3.886,32.930,23.720,11.650,1.381,43.351,1.039,1.098,0.981,0.951,3.081,1.360,0.335,2.299,1.113,1.185,1.096,1.234,0.592,1.335,0.656,2.445,1.588,1.058,1.088,1.788,1.615,0.528,1.687,0.913,2.548,0.556,0.529,1.174,1.052,1.016,1.144,1.057,0.123,0.007,0.006,0.020,0.008,0.209,0.062,0.090,0.008,0.008,0.009,0.008,0.005,0.008,0.007,0.026,0.159,0.010,0.018,0.096,0.012,0.044,0.028,0.024,0.013,0.013,0.013,0.005,0.351,0.032,42.338,24.719,32.930,23.720,11.650,2601422848,2174468096,3281448960,5002428416,0,34,3.886,16.110,25.005,1.604,0,0,1073737728,0,1408,64707,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1.238,1234.483,5505.055,5757.782,1.305,0.030,0,0,0,0,0,0,0,0
1768027528.856,18.580,5.299,16.814,59.274,0.033,0,5931008,0,0,672,0,0,0,2621759488,2153967616,3281547264,4982112256,196558,371968,8,28,71,32.930,23.720,11.650,16,20,0,0,0,5,0,0,4,0,27,0,0,0,0,0,0,0,23,0,0,0,3,2,0,0,1,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,148,32.930,23.720,11.650,2621759488,2153967616,3281547264,4982112256,9,28,71,0,98,0,0,0,1073737728,0,1408,64933,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4851,25874,30032,1.900,0,0,0,0,0,0,0,0,0
1768027529.856,19.143,5.726,20.452,54.647,0.033,0,0,0,0,336,0,0,0,2611273728,2164453376,3281547264,4992598016,222105,422560,8,27,0,32.930,23.720,11.650,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,32.930,23.720,11.650,2611273728,2164453376,3281547264,4992598016,8,30,0,0,0,0,0,0,1073737728,0,1408,64933,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,20,24736,28050,0,0,0,0,0,0,0,0,0,0
1768027530.856,19.255,5.754,20.628,54.364,0,0,1703936,0,0,336,0,0,0,2592399360,2183327744,3281547264,5011472384,224730,427650,8,29,1,31.010,23.470,11.630,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,31.010,23.470,11.630,2592399360,2183327744,3281547264,5011472384,9,28,1,0,2,0,0,0,1073737728,0,1408,64932,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,45,25220,31338,0,0,0,0,0,0,0,0,0,0
1768027531.857,18.883,5.913,18.458,56.746,0,0,0,0,0,0,0,0,0,2554650624,2221076480,3281547264,5049221120,223396,424984,8,31,0,31.010,23.470,11.630,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,31.010,23.470,11.630,2554650624,2221076480,3281547264,5049221120,8,28,0,0,0,0,0,0,1073737728,0,1408,64932,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,28,22227,30428,0,0,0,0,0,0,0,0,0,0
1768027532.857,18.893,5.828,20.694,54.584,0,0,0,0,0,0,0,0,0,2529714176,2246012928,3281547264,5074157568,223504,425207,9,28,0,31.010,23.470,11.630,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,31.010,23.470,11.630,2529714176,2246012928,3281547264,5074157568,8,28,0,0,0,0,0,0,1073737728,0,1408,64932,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,21,23380,29522,0,0,0,0,0,0,0,0,0,0
1768027533.858,3.659,1.230,23.565,71.514,0.032,0,2555904,0,0,0,0,0,0,2521579520,2254143488,3281551360,5082296320,46835,88537,0,33,1,31.010,23.470,11.630,2,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,31.010,23.470,11.630,2521579520,2254143488,3281551360,5082296320,0,33,1,0,3,0,0,0,1073737728,0,1408,64916,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,228,4861,6807,1,0,0,0,0,0,0,0,0,0
1768027534.857,0,0,21.871,78.129,0,0,0,0,0,0,0,0,0,2521579520,2254143488,3281551360,5082296320,477,476,0,33,0,31.010,23.470,11.630,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,31.010,23.470,11.630,2521579520,2254143488,3281551360,5082296320,0,33,0,0,0,0,0,0,1073737728,0,1408,64916,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,37,34,0,0,0,0,0,0,0,0,0,0
1768027535.858,0.408,0.094,21.807,77.691,0,0,0,0,0,0,0,0,0,2528006144,2247716864,3281551360,5075873792,4045,5804,0,33,0,28.530,23.080,11.570,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,28.530,23.080,11.570,2528006144,2247716864,3281551360,5075873792,0,33,0,0,0,0,0,0,1073737728,0,1408,64916,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5677,5913,1638,0,0,0,0,0,0,0,0,0,0
1768027536.858,0,0,21.864,78.136,0,0,0,0,0,0,0,0,0,2528006144,2247716864,3281551360,5075873792,533,554,0,33,0,28.530,23.080,11.570,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,28.530,23.080,11.570,2528006144,2247716864,3281551360,5075873792,0,33,0,0,0,0,0,0,1073737728,0,1408,64916,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,9,55,36,0,0,0,0,0,0,0,0,0,0
