"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","c43a0b04c196",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260110071209/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","10 Jan 2026 07:23:29 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","25","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","66","67","68","69","70","71","72","73","74","75","77","79","80","81","82","83","84","85","86","88","89","90","91","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1768029809.188,0.996,0.167,93.404,5.156,0.277,15144618.911,17971079.624,3113149.012,0,0,0,0,0,1597837312,3407007744,3072258048,5987811328,3318.471,4520.393,1,33,8.442,1.360,2.550,1.580,1.377,1.238,24.660,2.827,0.463,6.344,4.412,2.274,2.342,7.164,2.685,3.468,1.317,1.655,1.920,4.045,0.837,1.945,0.336,2.252,2.347,0.618,2.966,2.453,1.771,0.194,0.314,5.736,1.050,6.693,1.002,0.567,2.620,0.565,4.749,0.270,0.070,0.045,0.057,0.022,0.026,0.660,0.124,0.023,0.070,0.207,0.018,1.031,0.574,0.023,0.073,0.048,0.428,0.023,0.324,0.218,0.085,0.035,0.048,0.092,0.019,0.026,74.870,47.923,1.360,2.550,1.580,1597837312,3407007744,3072258048,5987811328,0,34,8.442,46.925,33.583,5.222,0,0,1073737728,0,1536,51615,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,3.754,2569.918,6309.942,7593.674,1.421,0.024,0,0,0,0,0,0,0,0
1768029810.189,20.475,5.501,28.190,45.247,0.586,0,6848512,0,0,672,0,0,0,1696411648,3308302336,3072356352,5889232896,201099,380263,10,27,67,1.890,2.640,1.620,12,0,18,0,4,4,0,0,6,0,0,0,0,2,0,3,0,11,8,0,0,2,28,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,163,1.890,2.640,1.620,1696411648,3308302336,3072356352,5889232896,8,29,67,0,128,0,0,0,1073737728,0,1600,51854,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5212,84753,55476,2.400,0,0,0,0,0,0,0,0,0
1768029811.189,19.024,6.025,21.775,53.045,0.131,0,0,0,0,336,0,0,0,1721831424,3282882560,3072356352,5863813120,232432,443243,8,30,0,1.890,2.640,1.620,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1.890,2.640,1.620,1721831424,3282882560,3072356352,5863813120,8,29,0,0,0,0,0,0,1073737728,0,1600,51854,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,64,25410,16173,0,0,0,0,0,0,0,0,0,0
1768029812.189,18.797,6.080,21.098,54.026,0,0,0,0,0,336,0,0,0,1923641344,3081072640,3072356352,5662003200,229071,437013,8,29,0,1.890,2.640,1.620,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1.890,2.640,1.620,1923641344,3081072640,3072356352,5662003200,9,30,0,0,0,0,0,0,1073737728,0,1600,51852,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,242,67870,15974,0,0,0,0,0,0,0,0,0,0
1768029813.189,17.781,6.391,24.437,51.358,0.033,0,0,0,0,0,0,0,0,1925906432,3078807552,3072356352,5659738112,227030,433383,8,28,0,1.890,2.640,1.620,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1.890,2.640,1.620,1925906432,3078807552,3072356352,5659738112,8,29,0,0,0,0,0,0,1073737728,0,1600,51852,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,25,10516,9989,0,0,0,0,0,0,0,0,0,0
1768029814.189,18.815,6.217,25.262,49.542,0.164,0,0,0,0,0,0,0,0,1914937344,3089776640,3072356352,5670707200,231413,441143,8,31,0,1.890,2.640,1.620,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,1.890,2.640,1.620,1914937344,3089776640,3072356352,5670707200,8,29,0,0,0,0,0,0,1073737728,0,1600,51852,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,66,15786,15243,0,0,0,0,0,0,0,0,0,0
1768029815.189,3.757,1.326,26.776,68.140,0,0,425984,0,0,0,0,0,0,1916891136,3087826944,3072352256,5668757504,49159,93292,0,33,1,1.740,2.600,1.610,2,0,37,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,1.740,2.600,1.610,1916891136,3087826944,3072352256,5668757504,0,33,1,0,2,0,0,0,1073737728,0,1600,51837,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,260,1111,1515,1,0,0,0,0,0,0,0,0,0
1768029816.189,0.031,0.031,24.953,74.953,0.031,0,0,0,0,0,0,0,0,1917149184,3087568896,3072352256,5668499456,857,1451,0,33,1,1.740,2.600,1.610,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,1.740,2.600,1.610,1917149184,3087568896,3072352256,5668499456,0,33,1,0,0,0,0,0,1073737728,0,1600,51837,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,114,172,133,0.800,0,0,0,0,0,0,0,0,0
1768029817.189,0,0,21.673,75.296,3.031,0,0,0,0,0,0,0,0,1917407232,3087310848,3072352256,5668241408,591,600,0,33,0,1.740,2.600,1.610,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1.740,2.600,1.610,1917407232,3087310848,3072352256,5668241408,0,33,0,0,0,0,0,0,1073737728,0,1600,51837,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,28,70,26,0,0,0,0,0,0,0,0,0,0
1768029818.189,0.031,0.031,18.713,81.193,0.031,0,0,0,0,0,0,0,0,1917665280,3087052800,3072352256,5667983360,560,520,0,33,0,1.740,2.600,1.610,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,1.740,2.600,1.610,1917665280,3087052800,3072352256,5667983360,0,33,0,0,0,0,0,0,1073737728,0,1600,51837,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,17,48,36,0,0,0,0,0,0,0,0,0,0
