"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","64665ab8242d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130193859/ktor-exposed-r2dbc-dsl/query/stats.txt",,,,"Date:","30 Jan 2026 19:44:24 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","74","75","76","77","78","79","80","81","82","83","84","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769802264.110,19.325,6.253,73.597,0.067,0.759,31775233.088,22633105.375,6497278.445,0,0,0,0,0,3187974144,2168500224,2741497856,4398915584,81267.534,303804.944,0,1,21.628,71.360,25.800,9.480,2.985,18.612,13.699,1.743,2.372,15.156,12.016,4.582,13.990,5.657,3.951,5.478,5.773,1.512,3.246,10.416,2.177,1.822,2.372,2.794,6.538,2.621,5.563,13.000,2.347,1.494,1.039,2.332,2.812,5.633,0.708,2.812,0.638,1.193,0.061,0.073,0.170,0.131,0.328,0.106,0.407,2.317,0.046,0.036,0.049,0.331,0.131,0.067,0.219,0.064,0.434,0.109,1.439,0.613,0.058,0.125,0.055,1.166,1.063,0.033,0.043,0.128,96.307,91.652,71.360,25.800,9.480,3187974144,2168500224,2741497856,4398915584,0,1,21.628,98.822,50.705,10.908,0,0,1073737728,0,7360,47047,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,8.551,8741.685,13648.345,15322.848,2.265,0.167,0,0,0,0,0,0,0,0
1769802265.110,16.892,6.302,76.410,0.099,0.297,0,6029312,0,0,672,0,0,0,3221241856,2135003136,2741596160,4365676544,220550,460118,12,0,65,71.360,25.800,9.480,8,20,0,0,0,3,5,0,0,2,23,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,148,71.360,25.800,9.480,3221241856,2135003136,2741596160,4365676544,6,0,65,0,103,0,0,0,1073737728,0,7424,47290,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4730,7071,7581,2,0,0,0,0,0,0,0,0,0
1769802266.110,19.076,6.281,74.477,0,0.166,0,0,0,0,336,0,0,0,3221471232,2134773760,2741596160,4365447168,254650,534370,8,0,0,67.160,25.680,9.540,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,67.160,25.680,9.540,3221471232,2134773760,2741596160,4365447168,8,0,0,0,0,0,0,0,1073737728,0,7424,47290,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,145,378,266,0,0,0,0,0,0,0,0,0,0
1769802267.110,18.911,6.148,74.841,0,0.100,0,0,0,0,336,0,0,0,3209482240,2146762752,2741596160,4377436160,254848,534844,9,0,1,67.160,25.680,9.540,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,67.160,25.680,9.540,3209482240,2146762752,2741596160,4377436160,7,0,1,0,0,0,0,0,1073737728,0,7424,47289,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,16,282,2822,0,0,0,0,0,0,0,0,0,0
1769802268.110,18.510,6.482,74.875,0,0.134,0,0,0,0,0,0,0,0,3192213504,2164031488,2741596160,4394704896,254588,533972,11,0,0,67.160,25.680,9.540,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,67.160,25.680,9.540,3192213504,2164031488,2741596160,4394704896,8,0,0,0,0,0,0,0,1073737728,0,7424,47289,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,276,2382,0,0,0,0,0,0,0,0,0,0
1769802269.110,18.904,6.179,74.683,0.100,0.134,0,1376256,0,0,0,0,0,0,3176157184,2180075520,2741604352,4410753024,254566,533363,7,0,1,67.160,25.680,9.540,2,5,8,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,67.160,25.680,9.540,3176157184,2180075520,2741604352,4410753024,7,0,1,0,12,0,0,0,1073737728,0,7424,47289,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,836,797,3470,3.800,0,0,0,0,0,0,0,0,0
1769802270.111,2.622,0.916,96.431,0,0.032,0,0,0,0,0,0,0,0,3170541568,2185691136,2741604352,4416385024,39917,81996,0,0,1,67.160,25.680,9.540,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,67.160,25.680,9.540,3170541568,2185691136,2741604352,4416385024,0,0,1,0,0,0,0,0,1073737728,0,7424,47274,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,138,190,580,0,0,0,0,0,0,0,0,0,0
1769802271.111,0.031,0,99.969,0,0,0,0,0,0,0,0,0,0,3170799616,2185433088,2741604352,4416126976,1213,1276,0,0,0,61.870,25.270,9.490,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,61.870,25.270,9.490,3170799616,2185433088,2741604352,4416126976,1,0,0,0,0,0,0,0,1073737728,0,7424,47273,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,83,98,59,0,0,0,0,0,0,0,0,0,0
1769802272.111,0.031,0.031,98.916,0,1.022,0,2097152,0,0,0,0,0,0,3170349056,2185883648,2741604352,4416577536,1092,1031,0,0,0,61.870,25.270,9.490,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,61.870,25.270,9.490,3170349056,2185883648,2741604352,4416577536,0,0,0,0,17,0,0,0,1073737728,0,7424,47273,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,29,45,128,0,0,0,0,0,0,0,0,0,0
1769802273.111,0.031,0,99.937,0,0.031,0,0,0,0,0,0,0,0,3167907840,2188324864,2741604352,4419018752,646,593,0,0,0,61.870,25.270,9.490,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,61.870,25.270,9.490,3167907840,2188324864,2741604352,4419018752,0,0,0,0,0,0,0,0,1073737728,0,7424,47273,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,10,36,38,0,0,0,0,0,0,0,0,0,0
1769802274.111,0,0.031,99.937,0.031,0,0,360448,0,0,0,0,0,0,3168387072,2187845632,2741604352,4418572288,949,1537,0,0,1,61.870,25.270,9.490,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,61.870,25.270,9.490,3168387072,2187845632,2741604352,4418572288,0,0,1,0,2,0,0,0,1073737728,0,7424,47273,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,103,115,109,1.900,0,0,0,0,0,0,0,0,0
1769802275.110,54.762,14.127,30.317,0,0.794,0,2097152,0,0,0,0,0,0,3214401536,2141634560,2741604352,4372459520,81070,635436,108,0,33,61.870,25.270,9.490,2,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,61.870,25.270,9.490,3214401536,2141634560,2741604352,4372459520,114,0,33,0,14,0,0,0,1073737728,0,7936,48300,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3787,16120,2779,0,0,0,0,0,0,0,0,0,0
1769802276.110,70.245,18.222,9.175,0,2.357,0,0,0,0,0,0,0,0,3218800640,2137235456,2741604352,4368060416,110880,925367,129,0,0,63.800,26.280,9.900,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,63.800,26.280,9.900,3218800640,2137235456,2741604352,4368060416,130,0,0,0,0,0,0,0,1073737728,0,8000,48300,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,567,3551,3172,0,0,0,0,0,0,0,0,0,0
1769802277.110,71.021,17.882,9.226,0,1.871,0,0,0,0,0,0,0,0,3216396288,2139639808,2741604352,4370464768,111253,922124,123,0,0,63.800,26.280,9.900,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,63.800,26.280,9.900,3216396288,2139639808,2741604352,4370464768,106,0,0,0,0,0,0,0,1073737728,0,8000,48300,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1489,4599,3989,0,0,0,0,0,0,0,0,0,0
