"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","8fde8adec62b",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260203052952/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","03 Feb 2026 05:34:23 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","25","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","76","77","78","79","80","81","82","83","84","86","87","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770096863.957,2.336,0.447,90.612,6.453,0.152,42401959.791,52709284.370,7751221.848,0,0,0,0,0,1689575424,2832850944,3430756352,6033416192,7589.200,10997.563,0,34,14.312,4.590,2.590,1.060,3.167,0.468,156.228,6.159,8.091,5.280,3.290,3.367,4.387,16.862,8.879,4.957,18.568,3.969,6.969,3.058,10.586,6.817,4.256,7.467,6.159,6.588,49.459,71.350,5.941,7.416,7.434,1.438,2.393,21.848,9.482,1.598,4.202,9.758,2.404,0.280,2.361,0.073,0.051,0.574,0.040,0.360,1.674,0.051,0.269,0.058,1.750,0.127,0.047,0.766,0.131,0.094,0.523,0.134,0.200,0.149,0.054,0.276,0.102,0.044,0.087,0.145,0.044,1.300,274.107,164.733,4.590,2.590,1.060,1689575424,2832850944,3430756352,6033416192,0,34,14.312,238.884,87.032,13.041,0,0,1073737728,0,1408,135273,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,10.583,5569.839,15670.046,18383.912,3.879,0.064,0,0,0,0,0,0,0,0
1770096864.958,29.164,4.601,16.818,49.060,0.356,0,46432256,0,0,672,0,0,0,1832140800,2687344640,3433652224,5889093632,156210,291682,9,29,73,4.540,2.610,1.070,12,0,20,0,0,2,3,1,0,0,12,14,23,7,0,0,2,0,0,0,0,0,4,0,0,0,5,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,167,4.540,2.610,1.070,1832140800,2687344640,3433652224,5889093632,9,28,73,0,117,0,0,0,1073737728,0,1408,135502,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,27284,74360,42980,5.600,0,0,0,0,0,0,0,0,0
1770096865.958,21.238,5.537,12.150,61.075,0,0,59244544,0,0,336,0,0,0,1926209536,2588696576,3438231552,5792890880,194290,369103,9,29,1,4.540,2.610,1.070,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4.540,2.610,1.070,1926209536,2588696576,3438231552,5792890880,10,27,1,0,19,0,0,0,1073737728,0,1408,135502,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7452,84062,56053,5,0,0,0,0,0,0,0,0,0
1770096866.958,21.429,5.357,20.260,52.922,0.032,0,193855488,0,0,336,0,0,0,2167943168,2343186432,3442278400,5548756992,195870,371614,8,29,5,4.540,2.610,1.070,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4.540,2.610,1.070,2167943168,2343186432,3442278400,5548756992,12,27,5,0,41,0,0,0,1073737728,0,1408,135502,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1520,80811,20211,5.900,0,0,0,0,0,0,0,0,0
1770096867.958,21.178,5.172,13.696,59.922,0.033,0,67108864,0,0,0,0,0,0,2174615552,2332532736,3446226944,5539938304,194021,367275,9,30,0,4.540,2.610,1.070,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4.540,2.610,1.070,2174615552,2332532736,3446226944,5539938304,10,29,0,0,16,0,0,0,1073737728,0,1408,135502,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1202,13865,12324,5.600,0,0,0,0,0,0,0,0,0
1770096868.958,21.070,5.122,12.415,61.361,0.032,0,201981952,0,0,0,0,0,0,2163138560,2339606528,3450580992,5549236224,188134,355940,8,32,0,4.540,2.610,1.070,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,4.540,2.610,1.070,2163138560,2339606528,3450580992,5549236224,8,30,0,0,48,0,0,0,1073737728,0,1408,135503,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1269,6374,6814,8.500,0,0,0,0,0,0,0,0,0
1770096869.958,4.669,1.325,17.823,76.183,0,0,14352384,0,0,0,0,0,0,2159206400,2342219776,3451887616,5552750592,44287,83569,0,33,1,5.060,2.750,1.130,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,5.060,2.750,1.130,2159206400,2342219776,3451887616,5552750592,0,33,1,0,7,0,0,0,1073737728,0,1408,135488,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,584,12531,12054,2,0,0,0,0,0,0,0,0,0
1770096870.958,0,0,10.419,89.581,0,0,0,0,0,0,0,0,0,2159181824,2342244352,3451887616,5552775168,512,500,0,33,0,5.060,2.750,1.130,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5.060,2.750,1.130,2159181824,2342244352,3451887616,5552775168,0,33,0,0,0,0,0,0,1073737728,0,1408,135488,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,52,66,34,0,0,0,0,0,0,0,0,0,0
1770096871.958,0.062,0.031,3.843,96.064,0,0,0,0,0,0,0,0,0,2159415296,2342010880,3451887616,5552541696,498,505,0,33,0,5.060,2.750,1.130,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5.060,2.750,1.130,2159415296,2342010880,3451887616,5552541696,0,33,0,0,0,0,0,0,1073737728,0,1408,135488,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,58,86,38,0,0,0,0,0,0,0,0,0,0
1770096872.958,0.031,0,3.119,96.507,0.343,0,0,0,0,0,0,0,0,2159415296,2342010880,3451887616,5552599040,573,615,0,33,0,5.060,2.750,1.130,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,5.060,2.750,1.130,2159415296,2342010880,3451887616,5552599040,0,33,0,0,0,0,0,0,1073737728,0,1408,135488,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,49,140,752,0,0,0,0,0,0,0,0,0,0
1770096873.958,0.031,0.092,3.060,94.492,2.326,0,163840,0,0,0,0,0,0,2158710784,2342715392,3451887616,5553451008,1580,2409,0,33,27,5.060,2.750,1.130,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,59,5.060,2.750,1.130,2158710784,2342715392,3451887616,5553451008,0,33,27,0,2,0,0,0,1073737728,0,1408,135488,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,3156,5977,5975,1.500,0,0,0,0,0,0,0,0,0
1770096874.958,41.854,11.011,7.856,37.379,1.900,0,297009152,0,0,0,0,0,0,2146574336,2343051264,3463053312,5559169024,102064,294205,44,17,40,4.650,2.710,1.120,2,0,14,3,0,5,1,5,0,2,0,4,0,0,1,3,0,2,0,6,0,0,1,6,2,4,1,1,0,0,4,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,4.650,2.710,1.120,2146574336,2343051264,3463053312,5559169024,51,15,40,0,78,0,0,0,1073737728,0,1920,136516,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,45016,45902,37786,6.900,0,0,0,0,0,0,0,0,0
