"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","bb5274c98ad2",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260203054303/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","03 Feb 2026 05:47:14 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","78","79","80","81","82","83","84","85","86","87","88","89","91","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770097634.543,2.550,0.451,89.973,6.914,0.112,41245922.651,56870082.645,8311554.236,0,0,0,0,0,1502597120,3131756544,3429933056,6091243520,7915.859,11312.264,0,34,15.514,4.430,2.240,0.910,2.883,77.306,8.104,8.883,8.852,6.157,2.342,9.396,2.922,1.806,3.553,19.568,4.348,18.186,5.605,4.782,4.528,0.983,9.561,6.290,3.956,2.092,1.974,6.545,7.415,3.635,13.862,10.239,20.289,4.332,8.018,2.213,12.596,5.707,0.176,0.149,0.811,2.495,0.302,0.067,0.157,0.114,0.384,0.537,0.505,0.212,0.208,0.646,0.086,0.337,0.047,1.398,0.192,0.110,1.465,0.063,0.098,0.114,0.176,0.047,1.328,0.121,287.760,179.672,4.430,2.240,0.910,1502597120,3131756544,3429933056,6091243520,0,34,15.514,129.000,93.909,13.936,0,0,1073737728,0,1408,59501,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,11.347,6021.488,16733.305,19904.383,3.881,0.073,0,0,0,0,0,0,0,0
1770097635.543,30.143,4.915,24.707,39.974,0.260,0,44433408,0,0,672,0,0,0,1662791680,2968625152,3432837120,5929234432,156464,282292,8,29,78,5.680,2.540,1.010,18,19,0,0,0,12,4,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,25,0,10,0,0,3,3,10,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,169,5.680,2.540,1.010,1662791680,2968625152,3432837120,5929234432,10,27,78,0,115,0,0,0,1073737728,0,1408,59734,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,27366,73643,45763,6,0,0,0,0,0,0,0,0,0
1770097636.543,21.675,5.248,24.804,48.240,0.033,0,60030976,0,0,336,0,0,0,1776041984,2850852864,3437359104,5813784576,191496,359586,10,29,0,5.680,2.540,1.010,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5.680,2.540,1.010,1776041984,2850852864,3437359104,5813784576,11,28,0,0,16,0,0,0,1073737728,0,1408,59734,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,7720,84404,53912,5.300,0,0,0,0,0,0,0,0,0
1770097637.544,22.251,4.633,19.478,53.605,0.033,0,193855488,0,0,336,0,0,0,2026881024,2596274176,3441299456,5560754176,192020,360405,9,30,2,5.680,2.540,1.010,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5.680,2.540,1.010,2026881024,2596274176,3441299456,5560754176,11,29,2,0,46,0,0,0,1073737728,0,1408,59734,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1468,79090,18057,7,0,0,0,0,0,0,0,0,0
1770097638.543,21.743,4.734,14.855,58.668,0,0,58720256,0,0,0,0,0,0,2026156032,2593161216,3445108736,5559472128,192166,361141,10,27,0,5.680,2.540,1.010,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5.680,2.540,1.010,2026156032,2593161216,3445108736,5559472128,8,29,0,0,16,0,0,0,1073737728,0,1408,59734,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1191,1763,786,4.500,0,0,0,0,0,0,0,0,0
1770097639.543,21.875,4.753,17.122,56.217,0.033,0,201883648,0,0,0,0,0,0,2013360128,2601492480,3449491456,5569974272,189548,355886,8,29,0,5.680,2.540,1.010,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,5.680,2.540,1.010,2013343744,2601492480,3449507840,5569974272,8,31,0,0,45,0,0,0,1073737728,0,1408,59735,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1385,18025,16367,7.300,0,0,0,0,0,0,0,0,0
1770097640.544,4.864,1.105,23.057,70.973,0,0,19070976,0,0,0,0,0,0,2030587904,2582839296,3450900480,5552275456,43475,81113,0,33,1,6.430,2.750,1.090,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,6.430,2.750,1.090,2030587904,2582839296,3450900480,5552275456,0,33,1,0,10,0,0,0,1073737728,0,1408,59720,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,746,12555,12115,2.600,0,0,0,0,0,0,0,0,0
1770097641.543,0.031,0,19.981,79.987,0,0,0,0,0,0,0,0,0,2030833664,2582593536,3450900480,5552029696,565,518,0,33,0,6.430,2.750,1.090,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6.430,2.750,1.090,2030833664,2582593536,3450900480,5552029696,0,33,0,0,0,0,0,0,1073737728,0,1408,59719,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,57,70,28,0,0,0,0,0,0,0,0,0,0
1770097642.543,0.031,0.031,18.713,81.193,0.031,0,0,0,0,0,0,0,0,2030833664,2582593536,3450900480,5552029696,431,431,0,33,0,6.430,2.750,1.090,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,6.430,2.750,1.090,2030833664,2582593536,3450900480,5552029696,0,33,0,0,0,0,0,0,1073737728,0,1408,59719,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,9,49,34,0,0,0,0,0,0,0,0,0,0
1770097643.544,0,0,16.209,83.666,0.125,0,0,0,0,0,0,0,0,2030833664,2582593536,3450900480,5552029696,490,501,0,33,0,6.430,2.750,1.090,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,6.430,2.750,1.090,2030833664,2582593536,3450900480,5552029696,0,33,0,0,0,0,0,0,1073737728,0,1408,59719,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,15,47,36,0,0,0,0,0,0,0,0,0,0
