"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d0bea235396d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209013506/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","09 Feb 2026 01:40:49 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","76","77","78","79","80","81","82","84","86","88","89","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770601249.905,1.802,0.341,86.058,11.599,0.200,35799355.288,36982073.003,5997779.563,0,0,0,0,0,1815195648,2904780800,3138486272,6037954560,5916.781,8248.636,0,34,15.345,3.740,2.610,1.120,2.711,53.796,25.954,13.987,1.286,15.869,5.360,4.705,11.479,5.324,0.876,28.665,7.226,32.251,8.431,6.741,14.477,6.501,2.150,7.597,3.865,12.796,1.316,6.526,13.359,10.637,4.248,2.438,3.715,66.725,10.500,4.281,3.679,1.604,0.923,0.254,0.290,0.047,0.070,0.700,0.114,0.918,0.117,0.036,0.153,0.084,0.126,0.460,0.251,0.117,0.036,0.031,0.120,0.073,0.039,1.821,0.226,0.081,1.740,0.067,0.042,200.600,113.479,3.740,2.610,1.120,1815195648,2904780800,3138486272,6037954560,0,34,15.345,271.109,67.012,10.054,0,0,1073737728,0,1600,205258,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,10.062,4830.436,12547.939,14583.802,3.497,0.195,0,0,0,0,0,0,0,0
1770601250.905,20.280,5.534,24.056,49.772,0.358,0,5472256,0,0,672,0,0,0,1936793600,2783014912,3138588672,5916389376,195835,369463,8,30,69,3.740,2.610,1.120,21,19,5,0,0,5,3,1,1,0,0,25,0,0,0,0,5,0,0,0,0,15,0,0,4,0,0,8,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,162,3.740,2.610,1.120,1936793600,2783014912,3138588672,5916389376,8,29,69,0,110,0,0,0,1073737728,0,1600,205480,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,7278,102162,67265,3.500,0,0,0,0,0,0,0,0,0
1770601251.905,18.809,6.084,20.249,54.563,0.294,0,0,0,0,336,0,0,0,1998827520,2720980992,3138588672,5854355456,227270,432829,9,30,0,4.160,2.710,1.160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4.160,2.710,1.160,1998827520,2720980992,3138588672,5854355456,9,32,0,0,0,0,0,0,1073737728,0,1600,205480,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,80,37243,21856,0,0,0,0,0,0,0,0,0,0
1770601252.905,19.476,5.990,20.917,53.584,0.033,0,0,0,0,336,0,0,0,2182017024,2537791488,3138588672,5671165952,227181,432490,8,29,3,4.160,2.710,1.160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4.160,2.710,1.160,2182017024,2537791488,3138588672,5671165952,8,27,3,0,0,0,0,0,1073737728,0,1600,205479,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,926,62356,16647,0,0,0,0,0,0,0,0,0,0
1770601253.906,19.077,5.857,18.521,56.545,0,0,0,0,0,0,0,0,0,2191069184,2528739328,3138588672,5662113792,229867,437870,8,29,0,4.160,2.710,1.160,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,4.160,2.710,1.160,2191069184,2528739328,3138588672,5662113792,8,32,0,0,0,0,0,0,1073737728,0,1600,205479,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,21,9760,8717,0,0,0,0,0,0,0,0,0,0
1770601254.906,18.883,5.878,17.143,58.062,0.033,0,0,0,0,0,0,0,0,2290282496,2429526016,3138588672,5562900480,231245,440621,8,28,0,4.160,2.710,1.160,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,4.160,2.710,1.160,2290282496,2429526016,3138588672,5562900480,8,30,0,0,0,0,0,0,1073737728,0,1600,205479,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,69,28980,6871,0,0,0,0,0,0,0,0,0,0
1770601255.906,2.021,0.653,13.433,82.805,1.088,2392064,425984,0,0,0,0,0,0,2291023872,2428485632,3138887680,5562085376,26973,50700,0,33,1,4.160,2.710,1.160,2,40,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,4.160,2.710,1.160,2291023872,2428485632,3138887680,5562085376,0,33,1,73,2,0,0,0,1073737728,0,1600,205464,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,73,312,721,1528,1.400,0,0,0,0,0,0,0,0,0
1770601256.906,0.031,0.063,6.225,93.682,0,0,0,0,0,0,0,0,0,2288439296,2431070208,3138887680,5564669952,992,1659,1,33,1,3.830,2.670,1.150,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3.830,2.670,1.150,2288439296,2431070208,3138887680,5564669952,1,33,1,0,0,0,0,0,1073737728,0,1600,205464,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,151,237,1611,0.900,0,0,0,0,0,0,0,0,0
1770601257.906,0.031,0,4.722,95.247,0,0,0,0,0,0,0,0,0,2288439296,2431070208,3138887680,5564669952,488,462,0,33,0,3.830,2.670,1.150,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3.830,2.670,1.150,2288439296,2431070208,3138887680,5564669952,0,33,0,0,0,0,0,0,1073737728,0,1600,205464,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,5,32,61,0,0,0,0,0,0,0,0,0,0
1770601258.906,0,0,6.225,93.775,0,0,0,0,0,0,0,0,0,2288439296,2431070208,3138887680,5564669952,466,472,0,33,0,3.830,2.670,1.150,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,3.830,2.670,1.150,2288439296,2431070208,3138887680,5564669952,0,33,0,0,0,0,0,0,1073737728,0,1600,205464,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,0,47,35,0,0,0,0,0,0,0,0,0,0
