"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d0bea235396d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209013506/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","09 Feb 2026 01:46:55 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","76","77","78","79","80","81","82","84","86","88","89","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770601615.500,22.157,6.786,51.834,17.489,1.734,17728278.026,66619865.660,2970110.452,0,0,0,0,0,2829357056,1897717760,3130044416,5024542720,60265.948,209120.098,0,34,8.964,30.320,22.600,10.830,2.661,30.739,13.226,7.473,1.165,8.219,3.122,3.096,6.337,3.136,1.965,14.732,3.934,16.457,4.613,3.755,7.649,3.676,1.500,4.127,2.241,6.831,1.080,3.793,7.136,5.617,2.535,1.647,2.272,33.614,6.066,2.624,2.345,1.143,0.457,0.126,0.144,0.023,0.035,0.347,0.057,0.454,0.058,0.018,0.076,0.041,0.062,0.228,0.124,0.058,0.019,0.015,0.059,0.036,0.019,0.902,0.112,0.040,0.862,0.033,0.021,107.298,62.869,30.320,22.600,10.830,2829357056,1897717760,3130044416,5024542720,0,34,8.964,134.334,49.905,4.979,0,0,1073737728,0,1472,205364,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.084,2847.438,14949.968,15630.877,3.199,0.097,0,0,0,0,0,0,0,0
1770601616.501,18.405,5.165,20.072,56.293,0.065,0,6258688,0,0,672,0,0,0,2851721216,1875255296,3130142720,5002186752,194846,368841,8,26,68,30.320,22.600,10.830,10,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,4,4,0,0,0,4,1,4,2,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,144,30.320,22.600,10.830,2851721216,1875255296,3130142720,5002186752,8,30,68,0,103,0,0,0,1073737728,0,1408,205607,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3941,28472,30081,1.700,0,0,0,0,0,0,0,0,0
1770601617.501,18.969,5.678,19.068,56.252,0.033,0,0,0,0,336,0,0,0,2836410368,1890566144,3130142720,5017497600,218962,416487,9,29,0,28.460,22.340,10.810,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,28.460,22.340,10.810,2836410368,1890566144,3130142720,5017497600,8,26,0,0,0,0,0,0,1073737728,0,1408,205607,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,30,27571,30930,0,0,0,0,0,0,0,0,0,0
1770601618.501,18.891,5.838,23.516,51.755,0,0,0,0,0,336,0,0,0,2801717248,1925259264,3130142720,5052190720,219594,417666,8,32,0,28.460,22.340,10.810,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,28.460,22.340,10.810,2801717248,1925259264,3130142720,5052190720,10,27,0,0,0,0,0,0,1073737728,0,1408,205606,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,24,28847,36282,0,0,0,0,0,0,0,0,0,0
1770601619.501,19.155,5.665,14.244,60.904,0.033,0,0,0,0,0,0,0,0,2772508672,1954467840,3130142720,5081419776,216445,411252,9,27,0,28.460,22.340,10.810,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,28.460,22.340,10.810,2772508672,1954467840,3130142720,5081419776,9,26,0,0,0,0,0,0,1073737728,0,1408,205605,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,57,31001,36616,0,0,0,0,0,0,0,0,0,0
1770601620.501,19.043,5.670,15.306,59.948,0.033,0,0,0,0,0,0,0,0,2750083072,1976893440,3130142720,5103845376,217767,414230,8,27,0,28.460,22.340,10.810,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,28.460,22.340,10.810,2750083072,1976893440,3130142720,5103845376,8,30,0,0,0,0,0,0,1073737728,0,1408,205605,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,25,28500,35129,0,0,0,0,0,0,0,0,0,0
1770601621.501,3.350,1.201,20.670,74.779,0,0,393216,0,0,0,0,0,0,2745331712,1981644800,3130142720,5108596736,44001,83331,0,33,1,28.460,22.340,10.810,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,28.460,22.340,10.810,2745331712,1981644800,3130142720,5108596736,0,33,1,0,2,0,0,0,1073737728,0,1408,205590,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,252,5381,7843,1,0,0,0,0,0,0,0,0,0
1770601622.501,0.031,0,18.358,81.486,0.125,0,0,0,0,0,0,0,0,2745331712,1981644800,3130142720,5108596736,464,434,0,33,0,26.180,21.970,10.750,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,26.180,21.970,10.750,2745331712,1981644800,3130142720,5108596736,0,33,0,0,0,0,0,0,1073737728,0,1408,205590,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,28,35,0,0,0,0,0,0,0,0,0,0
1770601623.501,0.250,0.063,14.795,84.642,0.250,0,0,0,0,0,0,0,0,2757779456,1969197056,3130142720,5096157184,2315,3123,1,33,1,26.180,21.970,10.750,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,26.180,21.970,10.750,2757779456,1969197056,3130142720,5096157184,2,33,1,0,0,0,0,0,1073737728,0,1408,205594,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4606,4816,367,0,0,0,0,0,0,0,0,0,0
1770601624.501,0.282,0.063,9.752,89.903,0,0,0,0,0,0,0,0,0,2749689856,1977286656,3130142720,5104246784,3533,4247,0,33,0,26.180,21.970,10.750,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,26.180,21.970,10.750,2749689856,1977286656,3130142720,5104246784,0,33,0,0,0,0,0,0,1073737728,0,1408,205590,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,2393,2847,7430,0,0,0,0,0,0,0,0,0,0
