"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d0bea235396d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209013506/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","09 Feb 2026 01:44:59 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","76","77","78","79","80","81","82","84","86","88","89","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770601499.304,18.064,6.072,59.122,15.306,1.436,21117228.916,21919316.493,3537286.116,0,0,0,0,0,2556530688,2162368512,3138981888,5297270784,52664.766,197577.765,1,34,10.155,28.760,18.680,8.180,2.693,35.054,15.323,8.252,0.762,9.397,3.191,3.000,6.796,3.142,1.109,17.019,4.263,19.055,5.038,3.982,8.563,3.892,1.311,4.490,2.283,7.731,0.780,3.920,7.963,6.285,2.531,1.510,2.204,39.430,6.777,2.535,2.178,0.959,0.544,0.150,0.171,0.028,0.041,0.413,0.067,0.541,0.069,0.021,0.090,0.049,0.074,0.271,0.148,0.069,0.021,0.018,0.071,0.043,0.023,1.074,0.133,0.048,1.026,0.039,0.025,124.763,72.286,28.760,18.680,8.180,2556530688,2162368512,3138981888,5297270784,0,34,10.155,160.013,41.234,5.930,0,0,1073737728,0,1408,205286,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,6.055,3103.997,13848.585,14745.371,2.181,0.115,0,0,0,0,0,0,0,0
1770601500.305,20.758,4.016,18.232,56.898,0.097,0,71139328,360448,0,672,0,0,0,2581893120,2135678976,3140182016,5271060480,162238,304712,10,29,66,28.760,18.680,8.180,16,19,0,0,0,0,0,23,0,0,0,1,0,2,0,16,5,0,0,8,0,0,3,10,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,181,153,28.760,18.680,8.180,2581893120,2135678976,3140182016,5271060480,8,28,66,0,106,1,0,0,1073737728,0,1408,205520,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,1,23479,12325,8169,6.300,0,0,0,0,0,0,0,0,0
1770601501.305,22.168,4.544,11.717,61.571,0,0,58720256,0,0,336,0,0,0,2590896128,2143346688,3123912704,5261815808,195393,369180,9,29,0,28.760,18.680,8.180,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,28.760,18.680,8.180,2590896128,2143346688,3123912704,5261815808,8,31,0,0,14,0,0,0,1073737728,0,1408,205520,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,677,1073,4847,5,0,0,0,0,0,0,0,0,0
1770601502.305,21.599,4.796,10.375,63.230,0,0,58720256,0,0,336,0,0,0,2583232512,2143346688,3131416576,5269389312,198518,374770,10,29,0,27.330,18.560,8.200,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,27.330,18.560,8.200,2583232512,2143346688,3131416576,5269389312,8,32,0,0,21,0,0,0,1073737728,0,1408,205518,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,119,2359,711,5,0,0,0,0,0,0,0,0,0
1770601503.305,21.908,4.804,10.743,62.512,0.032,0,50331648,0,0,0,0,0,0,2575757312,2144264192,3137814528,5276758016,197016,372522,9,32,0,27.330,18.560,8.200,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,27.330,18.560,8.200,2575757312,2144264192,3137814528,5276758016,9,29,0,0,13,0,0,0,1073737728,0,1408,205518,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,60,2352,4478,3.500,0,0,0,0,0,0,0,0,0
1770601504.305,21.817,5.373,21.654,50.733,0.423,0,185270272,0,0,0,0,0,0,2577952768,2138746880,3141029888,5274587136,197902,372515,9,29,0,27.330,18.560,8.200,6,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,27.330,18.560,8.200,2577952768,2138746880,3141029888,5274587136,8,29,0,0,40,0,0,0,1073737728,0,1408,205519,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3442,9659,12333,5.800,0,0,0,0,0,0,0,0,0
1770601505.305,3.398,0.787,20.957,74.858,0,0,13959168,0,0,0,0,0,0,2577772544,2138906624,3141050368,5274755072,33071,62020,1,33,1,27.330,18.560,8.200,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,27.330,18.560,8.200,2577772544,2138906624,3141050368,5274755072,1,33,1,0,7,0,0,0,1073737728,0,1408,205504,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,235,361,818,1.900,0,0,0,0,0,0,0,0,0
1770601506.305,0,0,16.198,83.771,0.031,0,0,0,0,0,0,0,0,2577772544,2138906624,3141050368,5274755072,473,469,0,33,0,27.330,18.560,8.200,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,27.330,18.560,8.200,2577772544,2138906624,3141050368,5274755072,0,33,0,0,0,0,0,0,1073737728,0,1408,205504,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,27,35,0,0,0,0,0,0,0,0,0,0
1770601507.305,0,0,7.090,92.320,0.591,0,0,0,0,0,0,0,0,2577772544,2138906624,3141050368,5274775552,527,509,0,33,0,25.150,18.250,8.150,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,25.150,18.250,8.150,2577772544,2138906624,3141050368,5274775552,0,33,0,0,0,0,0,0,1073737728,0,1408,205504,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,20,61,64,0,0,0,0,0,0,0,0,0,0
1770601508.305,0.030,0,3.297,93.436,3.237,0,0,0,0,0,0,0,0,2577539072,2139140096,3141050368,5275009024,588,571,0,33,0,25.150,18.250,8.150,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,25.150,18.250,8.150,2577539072,2139140096,3141050368,5275009024,0,33,0,0,0,0,0,0,1073737728,0,1408,205504,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,32,63,35,0,0,0,0,0,0,0,0,0,0
