"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","30ce8801a2f2",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209021232/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/db/stats.txt",,,,"Date:","09 Feb 2026 02:16:53 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","66","68","69","70","72","73","74","75","77","78","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770603413.543,2.519,0.440,81.490,15.432,0.120,39662802.422,47869741.771,8022769.513,0,0,0,0,0,1614180352,3201351680,3253821440,5984215040,7708.287,10933.164,0,34,21.027,10.550,3.810,1.450,2.835,73.627,4.260,12.514,14.168,8.487,5.415,5.670,5.839,1.794,4.384,23.749,1.015,15.187,5.509,2.373,10.212,6.174,6.787,3.192,8.832,11.047,2.940,5.482,5.227,4.035,8.622,5.900,5.324,1.121,15.762,5.663,6.520,0.737,0.771,0.098,0.154,0.951,0.233,0.098,2.782,0.158,0.308,0.041,0.041,0.414,0.117,0.459,0.256,1.361,0.049,0.102,0.162,0.169,0.075,0.056,0.233,0.139,0.241,1.880,0.696,274.379,146.009,10.550,3.810,1.450,1614180352,3201351680,3253821440,5984215040,0,34,21.027,124.418,87.516,13.472,0,0,1073737728,0,1472,58915,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,11.010,6388.686,16579.425,19676.007,3.510,0.070,0,0,0,0,0,0,0,0
1770603414.543,21.247,5.450,13.251,59.824,0.228,0,6291456,0,0,672,0,0,0,1745784832,3069513728,3253923840,5852606464,193082,364000,8,28,66,10.550,3.810,1.450,10,20,4,2,4,0,0,11,0,0,12,0,0,0,0,0,0,2,3,4,0,0,5,28,0,0,0,0,3,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,185,10.550,3.810,1.450,1745784832,3069513728,3253923840,5852606464,8,31,66,0,108,0,0,0,1073737728,0,1472,59154,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,4214,105625,75927,2.300,0,0,0,0,0,0,0,0,0
1770603415.543,18.965,5.961,18.703,56.273,0.098,0,0,0,0,336,0,0,0,1739509760,3075788800,3253923840,5858910208,220504,419377,9,27,0,10.550,3.810,1.450,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,10.550,3.810,1.450,1743704064,3071594496,3253923840,5854715904,8,28,0,0,0,0,0,0,1073737728,0,1472,59154,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,62,28844,21172,0,0,0,0,0,0,0,0,0,0
1770603416.543,19.351,5.969,21.351,53.132,0.197,0,0,0,0,336,0,0,0,1959972864,2855297024,3253936128,5638426624,221594,421197,8,29,2,10.550,3.810,1.450,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,75,10.550,3.810,1.450,1959972864,2855297024,3253936128,5638426624,8,29,2,0,0,0,0,0,1073737728,0,1472,59153,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,221,72997,20047,0,0,0,0,0,0,0,0,0,0
1770603417.543,18.838,6.006,18.805,56.318,0.033,0,0,0,0,0,0,0,0,1963053056,2852216832,3253936128,5635346432,225729,429795,9,28,0,10.550,3.810,1.450,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.550,3.810,1.450,1963053056,2852216832,3253936128,5635346432,9,25,0,0,0,0,0,0,1073737728,0,1472,59153,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,28,14926,14419,0,0,0,0,0,0,0,0,0,0
1770603418.543,18.695,6.035,8.101,66.973,0.197,0,0,0,0,0,0,0,0,1969139712,2846130176,3253936128,5629263872,221294,420944,8,28,0,10.340,3.880,1.490,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,10.340,3.880,1.490,1969139712,2846130176,3253936128,5629263872,8,28,0,0,0,0,0,0,1073737728,0,1472,59153,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,30,15834,14798,0,0,0,0,0,0,0,0,0,0
1770603419.543,3.791,1.264,19.463,75.450,0.032,0,458752,0,0,0,0,0,0,1972604928,2842664960,3253936128,5625806848,47699,90358,0,33,1,10.340,3.880,1.490,2,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,26,10.340,3.880,1.490,1972604928,2842664960,3253936128,5625806848,0,33,1,0,2,0,0,0,1073737728,0,1472,59138,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,189,1177,1564,1,0,0,0,0,0,0,0,0,0
1770603420.543,0,0.031,8.414,91.555,0,0,0,0,0,0,0,0,0,1973338112,2841931776,3253936128,5625073664,874,1359,0,33,1,10.340,3.880,1.490,6,2,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,10.340,3.880,1.490,1973338112,2841931776,3253936128,5625073664,0,33,1,0,0,0,0,0,1073737728,0,1472,59138,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,102,121,110,0.400,0,0,0,0,0,0,0,0,0
1770603421.544,0.031,0,5.311,94.658,0,0,0,0,0,0,0,0,0,1973596160,2841673728,3253936128,5624815616,498,515,0,33,0,10.340,3.880,1.490,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10.340,3.880,1.490,1973596160,2841673728,3253936128,5624815616,0,33,0,0,0,0,0,0,1073737728,0,1472,59138,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,13,39,58,0,0,0,0,0,0,0,0,0,0
1770603422.544,0.061,0.030,3.031,93.847,3.031,0,0,0,0,0,0,0,0,1973854208,2841415680,3253936128,5624557568,546,604,0,33,0,10.340,3.880,1.490,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,10.340,3.880,1.490,1973854208,2841415680,3253936128,5624557568,0,33,0,0,0,0,0,0,1073737728,0,1472,59138,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2096,0,0,1,0,0,68,0,68,0,8,48,36,0,0,0,0,0,0,0,0,0,0
