"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","30ce8801a2f2",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209021232/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/fortune/stats.txt",,,,"Date:","09 Feb 2026 02:22:59 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","66","68","69","70","72","73","74","75","77","78","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770603779.331,25.476,7.702,44.609,20.015,2.199,16697516.825,75194138.863,3377480.177,0,0,0,0,0,2499846144,2319941632,3248549888,5099302912,67573.549,233911.788,0,34,10.487,30.680,23.490,11.390,2.612,40.321,2.348,5.754,6.561,4.200,2.890,2.879,3.126,1.282,2.442,10.829,0.993,7.003,3.323,1.570,4.896,3.179,3.445,1.917,4.260,5.160,1.642,2.860,3.302,2.270,4.282,2.955,2.653,1.042,7.193,2.992,3.236,0.763,0.325,0.041,0.065,0.400,0.098,0.041,1.171,0.066,0.130,0.017,0.017,0.174,0.049,0.193,0.108,0.573,0.021,0.043,0.068,0.071,0.032,0.024,0.098,0.059,0.101,0.791,0.293,127.711,71.804,30.680,23.490,11.390,2499846144,2319941632,3248549888,5099302912,2,33,10.487,52.378,56.887,5.672,0,0,1073737728,0,1344,59038,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.635,3207.085,17274.462,18207.370,3.206,0.029,0,0,0,0,0,0,0,0
1770603780.333,20.685,4.731,12.235,62.251,0.098,0,6520832,0,0,672,0,0,0,2533048320,2286538752,3248652288,5066096640,177434,333120,10,27,70,30.680,23.490,11.390,10,20,0,0,0,0,0,0,0,28,26,0,0,0,0,1,0,0,0,4,4,0,0,0,5,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,167,30.680,23.490,11.390,2533048320,2286538752,3248652288,5066096640,9,27,70,0,106,0,0,0,1073737728,0,1344,59274,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,5146,25779,26437,1.400,0,0,0,0,0,0,0,0,0
1770603781.331,19.698,5.670,21.141,53.425,0.066,0,0,0,0,336,0,0,0,2518343680,2301243392,3248652288,5080801280,212872,404152,8,31,0,30.680,23.490,11.390,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,30.680,23.490,11.390,2518343680,2301243392,3248652288,5080801280,8,27,0,0,0,0,0,0,1073737728,0,1344,59274,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,44,25880,29064,0,0,0,0,0,0,0,0,0,0
1770603782.331,19.104,5.659,13.641,61.531,0.065,0,0,0,0,336,0,0,0,2452205568,2367381504,3248652288,5146939392,212879,404513,8,30,0,30.680,23.490,11.390,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,30.680,23.490,11.390,2452205568,2367381504,3248652288,5146939392,8,28,0,0,0,0,0,0,1073737728,0,1344,59273,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,60,39227,42283,0,0,0,0,0,0,0,0,0,0
1770603783.331,19.077,5.857,18.946,56.086,0.033,0,0,0,0,0,0,0,0,2434211840,2385375232,3248652288,5164933120,214236,406996,8,27,0,29.020,23.260,11.380,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,29.020,23.260,11.380,2434211840,2385375232,3248652288,5164933120,8,32,0,0,0,0,0,0,1073737728,0,1344,59272,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,59,36938,39993,0,0,0,0,0,0,0,0,0,0
1770603784.331,19.169,5.626,14.524,60.648,0.033,0,0,0,0,0,0,0,0,2399510528,2420076544,3248652288,5199638528,211865,402144,8,27,0,29.020,23.260,11.380,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,29.020,23.260,11.380,2399510528,2420076544,3248652288,5199638528,8,31,0,0,0,0,0,0,1073737728,0,1344,59272,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,17,28803,34462,0,0,0,0,0,0,0,0,0,0
1770603785.331,3.948,1.232,20.088,74.732,0,0,425984,0,0,0,0,0,0,2402586624,2417000448,3248652288,5196562432,46445,87750,0,33,1,29.020,23.260,11.380,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,29.020,23.260,11.380,2402586624,2417000448,3248652288,5196562432,0,33,1,0,2,0,0,0,1073737728,0,1344,59257,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,231,5793,6180,0.900,0,0,0,0,0,0,0,0,0
1770603786.331,0.091,0.030,6.077,90.975,2.826,0,0,0,0,0,0,0,0,2405408768,2414166016,3248664576,5193728000,1608,2279,0,33,1,29.020,23.260,11.380,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,81,29.020,23.260,11.380,2405408768,2414166016,3248664576,5193728000,0,33,1,0,0,0,0,0,1073737728,0,1344,59257,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,743,619,610,0,0,0,0,0,0,0,0,0,0
1770603787.331,0.337,0.092,6.095,91.118,2.358,0,0,0,0,0,0,0,0,2432737280,2386837504,3248664576,5166411776,3350,4795,2,33,0,29.020,23.260,11.380,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,29.020,23.260,11.380,2431344640,2388230144,3248664576,5167804416,2,33,0,0,0,0,0,0,1073737728,0,1344,59261,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4653,4992,3922,0,0,0,0,0,0,0,0,0,0
1770603788.331,0.031,0,6.244,93.537,0.187,0,0,0,0,0,0,0,0,2429820928,2389753856,3248664576,5169328128,1033,1318,0,33,0,26.700,22.880,11.320,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,26.700,22.880,11.320,2429820928,2389753856,3248664576,5169328128,0,33,0,0,0,0,0,0,1073737728,0,1344,59257,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,0,32,36,0,0,0,0,0,0,0,0,0,0
