"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d32962041f06",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209062204/vertx-postgres/db/stats.txt",,,,"Date:","09 Feb 2026 06:26:48 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","64","65","66","67","68","69","70","72","73","74","75","76","77","78","79","81","82","83","84","85","86","87","88","89","90","91","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770618408.333,0.611,0.327,82.638,16.213,0.210,16858267.912,33852808.676,7189064.712,0,0,0,0,0,4702748672,1018179584,2376232960,2892763136,4023.088,5114.838,1,34,15.801,2.800,1.730,0.690,2.621,16.119,4.713,4.900,5.208,12.541,1.951,3.096,1.416,0.274,1.235,9.897,1.633,5.757,0.465,2.149,2.316,5.713,2.878,3.156,6.416,0.559,2.028,2.102,9.998,5.821,2.182,2.129,1.981,24.818,2.152,2.500,5.298,0.358,0.044,1.091,0.047,0.512,0.124,0.127,0.472,0.067,0.167,0.050,0.067,0.151,0.084,0.120,0.134,2.232,0.167,1.362,0.385,0.184,0.345,1.570,0.616,0.050,0.054,0.060,0.375,0.080,141.738,126.177,2.800,1.730,0.690,4702748672,1018179584,2376232960,2892763136,2,34,15.801,63.259,61.204,12.076,0,0,1073737728,0,1280,44115,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2107,0,0,1,0,0,68,0,68,9.837,5768.561,11183.864,12181.584,2.500,0.474,0,0,0,0,0,0,0,0
1770618409.334,17.238,8.586,22.625,51.224,0.326,0,4390912,0,0,672,0,0,0,4947615744,773021696,2376327168,2647830528,195357,368410,8,30,75,2.800,1.730,0.690,10,20,0,4,0,0,0,2,1,0,0,0,4,0,0,5,0,0,24,0,17,3,1,0,2,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,179,2.800,1.730,0.690,4947615744,773021696,2376327168,2647830528,8,32,75,0,80,0,0,0,1073737728,0,1408,44362,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,2107,0,0,1,0,0,68,0,68,0,6887,450465,394190,2.900,0,0,0,0,0,0,0,0,0
1770618410.334,16.656,8.180,20.565,54.435,0.164,0,0,0,0,336,0,0,0,4947615744,773021696,2376327168,2647830528,244932,468030,8,30,0,3.220,1.840,0.730,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3.220,1.840,0.730,4947615744,773021696,2376327168,2647830528,9,28,0,0,0,0,0,0,1073737728,0,1408,44361,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1589,0,0,1,0,0,68,0,68,0,116,4467,4380,0,0,0,0,0,0,0,0,0,0
1770618411.334,16.749,8.571,23.580,51.067,0.033,0,0,0,0,336,0,0,0,4951752704,768884736,2376327168,2643693568,248075,474188,8,30,1,3.220,1.840,0.730,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3.220,1.840,0.730,4951752704,768884736,2376327168,2643693568,8,29,1,0,0,0,0,0,1073737728,0,1408,44360,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1589,0,0,1,0,0,68,0,68,0,89,4974,3846,0,0,0,0,0,0,0,0,0,0
1770618412.334,17.416,8.429,17.744,56.412,0,0,0,0,0,0,0,0,0,4968927232,751710208,2376327168,2626519040,242849,463320,9,29,0,3.220,1.840,0.730,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,3.220,1.840,0.730,4968927232,751710208,2376327168,2626519040,8,29,0,0,0,0,0,0,1073737728,0,1408,44360,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1589,0,0,1,0,0,68,0,68,0,603,11367,4120,0,0,0,0,0,0,0,0,0,0
1770618413.334,16.316,8.586,21.645,53.421,0.033,0,0,0,0,0,0,0,0,4968927232,751710208,2376327168,2626519040,248746,475452,8,27,0,3.220,1.840,0.730,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3.220,1.840,0.730,4968927232,751710208,2376327168,2626519040,8,28,0,0,0,0,0,0,1073737728,0,1408,44360,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1589,0,0,1,0,0,68,0,68,0,37,4286,4221,0,0,0,0,0,0,0,0,0,0
1770618414.334,2.269,1.072,26.631,70.028,0,0,491520,0,0,0,0,0,0,4969185280,751452160,2376327168,2626260992,36094,68416,0,33,1,3.220,1.840,0.730,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,34,3.220,1.840,0.730,4969185280,751452160,2376327168,2626260992,0,33,1,0,2,0,0,0,1073737728,0,1408,44345,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1587,0,0,1,0,0,68,0,68,0,320,908,1306,1.300,0,0,0,0,0,0,0,0,0
1770618415.334,0,0,25.971,73.346,0.683,0,0,0,0,0,0,0,0,4969185280,751452160,2376327168,2626260992,443,437,0,33,0,2.960,1.810,0.720,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2.960,1.810,0.720,4969185280,751452160,2376327168,2626260992,0,33,0,0,0,0,0,0,1073737728,0,1408,44345,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1587,0,0,1,0,0,68,0,68,0,38,71,33,0,0,0,0,0,0,0,0,0,0
1770618416.334,0.030,0.030,19.279,77.630,3.031,0,0,0,0,0,0,0,0,4969185280,751452160,2376327168,2626260992,442,428,0,33,0,2.960,1.810,0.720,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2.960,1.810,0.720,4969185280,751452160,2376327168,2626260992,0,33,0,0,0,0,0,0,1073737728,0,1408,44345,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1587,0,0,1,0,0,68,0,68,0,32,59,26,0,0,0,0,0,0,0,0,0,0
1770618417.334,0.031,0,15.635,84.334,0,0,0,0,0,0,0,0,0,4969443328,751194112,2376327168,2626002944,524,558,0,33,0,2.960,1.810,0.720,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,2.960,1.810,0.720,4969443328,751194112,2376327168,2626002944,0,33,0,0,0,0,0,0,1073737728,0,1408,44345,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1587,0,0,1,0,0,68,0,68,0,33,64,41,0,0,0,0,0,0,0,0,0,0
1770618418.334,0.153,0.061,15.265,82.349,2.172,0,0,0,0,0,0,0,0,4969443328,751194112,2376327168,2626011136,1054,1361,0,33,1,2.960,1.810,0.720,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2.960,1.810,0.720,4969443328,751194112,2376327168,2626011136,0,33,1,0,0,0,0,0,1073737728,0,1408,44345,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1583,0,0,1,0,0,68,0,68,0,136,143,113,0.400,0,0,0,0,0,0,0,0,0
1770618419.334,50.219,21.169,11.132,13.477,4.003,0,131072,0,0,0,0,0,0,4940783616,779526144,2376327168,2654515200,103980,385586,79,2,36,2.960,1.810,0.720,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,21,2.960,1.810,0.720,4940783616,779526144,2376327168,2654515200,70,2,36,0,2,0,0,0,1073737728,0,1920,45372,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1583,0,0,1,0,0,68,0,68,0,3526,37085,31749,2.300,0,0,0,0,0,0,0,0,0
1770618420.334,55.222,24.765,13.227,1.751,5.034,0,0,0,0,0,0,0,0,5029978112,690331648,2376327168,2565320704,124909,448204,78,1,1,8.650,3,1.120,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8.650,3,1.120,5029978112,690331648,2376327168,2565320704,67,7,1,0,0,0,0,0,1073737728,0,1920,45372,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1583,0,0,1,0,0,68,0,68,0,1585,226961,204330,0,0,0,0,0,0,0,0,0,0
1770618421.334,55.542,25.507,11.958,1.873,5.120,0,229376,0,0,0,0,0,0,5023342592,696803328,2376491008,2571956224,124237,467271,70,7,1,8.650,3,1.120,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,8.650,3,1.120,5023342592,696803328,2376491008,2571956224,72,4,1,0,1,0,0,0,1073737728,0,1920,45373,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1583,0,0,1,0,0,68,0,68,0,863,30230,30148,0.100,0,0,0,0,0,0,0,0,0
1770618422.334,54.885,25.482,11.979,2.085,5.569,0,0,0,0,0,0,0,0,5025468416,694677504,2376491008,2569830400,125692,464117,69,2,0,8.650,3,1.120,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8.650,3,1.120,5025468416,694677504,2376491008,2569830400,63,7,0,0,0,0,0,0,1073737728,0,1920,45373,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1581,0,0,1,0,0,68,0,68,0,39,29116,29037,0,0,0,0,0,0,0,0,0,0
1770618423.334,55.950,25.421,11.963,1.464,5.202,0,0,0,0,0,0,0,0,5021310976,698834944,2376491008,2573987840,124825,469796,66,4,0,8.650,3,1.120,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8.650,3,1.120,5021310976,698834944,2376491008,2573987840,75,1,0,0,0,0,0,0,1073737728,0,1920,45373,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,1581,0,0,1,0,0,68,0,68,0,32,29842,29794,0,0,0,0,0,0,0,0,0,0
