"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d32962041f06",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209062204/vertx-postgres/fortune/stats.txt",,,,"Date:","09 Feb 2026 06:32:53 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","64","65","66","67","68","69","70","72","73","74","75","76","77","78","79","81","82","83","84","85","86","87","88","89","90","91","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770618773.991,24.818,9.856,43.125,20.138,2.062,7580207.543,69674583.704,3232514.920,0,0,0,0,0,5185236992,529592320,2380398592,2410364928,68655.586,357445.925,1,33,8.610,27.620,26.020,12.820,2.548,11.710,2.732,2.826,3.001,6.191,1.403,1.922,1.180,0.727,1.013,4.935,1.260,3.445,0.605,1.513,2.202,3.177,1.770,1.911,3.391,0.807,1.580,1.409,5.057,3.162,1.558,1.655,1.385,11.766,1.422,1.636,2.804,0.703,0.020,0.491,0.021,0.230,0.056,0.057,0.212,0.030,0.075,0.023,0.030,0.068,0.038,0.054,0.060,1.004,0.075,0.613,0.173,0.083,0.155,0.706,0.277,0.023,0.024,0.027,0.169,0.036,72.105,63.719,27.620,26.020,12.820,5185236992,529592320,2380398592,2410369024,0,34,8.610,28.444,46.803,5.430,0,0,1073737728,0,1216,44241,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,4.423,2925.237,15542.126,15822.167,2.837,0.213,0,0,0,0,0,0,0,0
1770618774.991,16.377,6.433,26.715,50.410,0.066,0,7340032,0,0,672,0,0,0,5197090816,517574656,2380496896,2398543872,213909,406928,9,27,67,27.620,26.020,12.820,13,20,4,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,28,0,1,2,0,0,4,3,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,148,27.620,26.020,12.820,5197090816,517574656,2380496896,2398543872,8,28,67,0,112,0,0,0,1073737728,0,1216,44480,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4661,30748,29841,2.300,0,0,0,0,0,0,0,0,0
1770618775.991,17.707,7.096,26.610,48.423,0.164,0,0,0,0,336,0,0,0,5197090816,517574656,2380496896,2398572544,235866,449997,8,26,0,26.130,25.730,12.800,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,26.130,25.730,12.800,5197090816,517574656,2380496896,2398572544,8,29,0,0,0,0,0,0,1073737728,0,1216,44479,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,34,29087,29103,0,0,0,0,0,0,0,0,0,0
1770618776.991,17.746,7.197,20.145,54.847,0.066,0,0,0,0,336,0,0,0,5197090816,517574656,2380496896,2398572544,236052,450330,8,29,0,26.130,25.730,12.800,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,26.130,25.730,12.800,5197090816,517574656,2380496896,2398572544,9,29,0,0,0,0,0,0,1073737728,0,1216,44478,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,29565,29555,0,0,0,0,0,0,0,0,0,0
1770618777.991,17.635,7.291,22.069,52.874,0.131,0,2097152,0,0,0,0,0,0,5197090816,517574656,2380496896,2398572544,242189,462185,9,28,0,26.130,25.730,12.800,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,26.130,25.730,12.800,5197090816,517574656,2380496896,2398572544,8,27,0,0,1,0,0,0,1073737728,0,1216,44478,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,1,29395,29397,0,0,0,0,0,0,0,0,0,0
1770618778.991,17.856,7.202,21.111,53.798,0.033,0,0,0,0,0,0,0,0,5197549568,517115904,2380496896,2398113792,241197,460374,8,30,0,26.130,25.730,12.800,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,26.130,25.730,12.800,5197549568,517115904,2380496896,2398113792,8,30,0,0,0,0,0,0,1073737728,0,1216,44478,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,11,29867,29837,0,0,0,0,0,0,0,0,0,0
1770618779.991,3.471,1.294,23.477,71.758,0,0,524288,0,0,0,0,0,0,5197549568,517115904,2380496896,2398113792,47975,91067,0,33,1,26.130,25.730,12.800,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,26.130,25.730,12.800,5197549568,517115904,2380496896,2398113792,0,33,1,0,2,0,0,0,1073737728,0,1216,44463,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,221,6013,6456,1,0,0,0,0,0,0,0,0,0
1770618780.991,0,0,25.016,74.984,0,0,2097152,0,0,0,0,0,0,5199867904,514797568,2380496896,2395795456,547,549,0,33,1,24.030,25.310,12.730,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,24.030,25.310,12.730,5199867904,514797568,2380496896,2395795456,0,33,1,0,1,0,0,0,1073737728,0,1216,44463,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,762,541,510,0,0,0,0,0,0,0,0,0,0
1770618781.991,0,0,24.992,75.008,0,0,0,0,0,0,0,0,0,5199867904,514797568,2380496896,2395795456,601,574,0,33,0,24.030,25.310,12.730,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,24.030,25.310,12.730,5199867904,514797568,2380496896,2395795456,0,33,0,0,0,0,0,0,1073737728,0,1216,44463,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,32,67,34,0,0,0,0,0,0,0,0,0,0
1770618782.991,0,0,18.762,81.238,0,0,0,0,0,0,0,0,0,5199867904,514797568,2380496896,2395795456,543,528,0,33,0,24.030,25.310,12.730,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,24.030,25.310,12.730,5199867904,514797568,2380496896,2395795456,0,33,0,0,0,0,0,0,1073737728,0,1216,44463,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,34,64,35,0,0,0,0,0,0,0,0,0,0
1770618783.991,0.063,0.031,21.851,78.056,0,0,2097152,0,0,0,0,0,0,5199921152,514744320,2380496896,2395742208,872,1483,0,33,1,24.030,25.310,12.730,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,24.030,25.310,12.730,5199921152,514744320,2380496896,2395742208,0,33,1,0,1,0,0,0,1073737728,0,1216,44463,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,132,128,111,0.800,0,0,0,0,0,0,0,0,0
