"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","d32962041f06",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260209062204/vertx-postgres/update/stats.txt",,,,"Date:","09 Feb 2026 06:30:57 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","64","65","66","67","68","69","70","72","73","74","75","76","77","78","79","81","82","83","84","85","86","87","88","89","90","91","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770618657.807,21.390,9.168,49.737,18.009,1.697,9186613.720,18574131.432,3917553.147,0,0,0,0,0,5065723904,653983744,2376577024,2529951744,54767.277,341194.258,2,33,9.838,44.830,26.920,11.360,2.524,12.476,2.619,2.709,2.876,6.871,1.067,1.693,0.799,0.299,0.684,5.413,0.921,3.677,0.270,1.184,1.634,3.113,1.662,1.745,3.555,0.376,1.125,1.162,5.494,3.190,1.191,1.377,1.082,13.619,1.182,1.452,2.922,0.213,0.024,0.595,0.026,0.279,0.067,0.069,0.257,0.036,0.091,0.027,0.036,0.082,0.046,0.066,0.073,1.217,0.091,0.742,0.210,0.100,0.188,0.855,0.336,0.027,0.029,0.033,0.204,0.044,84.108,74.469,44.830,26.920,11.360,5065719808,653983744,2376581120,2529951744,1,33,9.838,34.472,35.167,6.581,0,0,1073737728,0,1408,44172,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,5.360,3328.201,15441.618,15792.385,1.497,0.258,0,0,0,0,0,0,0,0
1770618658.807,17.827,5.056,21.963,55.089,0.066,0,57016320,0,0,672,0,0,0,5106704384,612691968,2376790016,2488811520,187629,354810,8,31,68,44.830,26.920,11.360,16,20,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,18,1,3,0,0,23,0,0,20,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,162,44.830,26.920,11.360,5106704384,612691968,2376790016,2488811520,9,29,68,0,109,0,0,0,1073737728,0,1408,44396,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,17263,7122,6575,6.400,0,0,0,0,0,0,0,0,0
1770618659.807,19.052,5.784,19.935,54.477,0.752,0,54853632,0,0,336,0,0,0,5105917952,613339136,2376929280,2489458688,215782,410314,8,29,0,44.830,26.920,11.360,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,44.830,26.920,11.360,5105917952,613339136,2376929280,2489458688,8,30,0,0,14,0,0,0,1073737728,0,1408,44395,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3503,1286,1286,4.600,0,0,0,0,0,0,0,0,0
1770618660.807,19.223,5.629,20.869,54.246,0.033,0,50331648,0,0,336,0,0,0,5116755968,615215104,2364534784,2478542848,215631,409802,8,31,0,41.960,26.620,11.350,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,41.960,26.620,11.350,5116755968,615215104,2364534784,2478542848,9,28,0,0,15,0,0,0,1073737728,0,1408,44394,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,61,2654,5785,4.300,0,0,0,0,0,0,0,0,0
1770618661.807,19.211,5.658,24.342,50.789,0,0,50331648,0,0,0,0,0,0,5119037440,606343168,2370965504,2476044288,215806,410685,8,31,1,41.960,26.620,11.350,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,41.960,26.620,11.350,5119037440,606343168,2370965504,2476044288,8,32,1,0,18,0,0,0,1073737728,0,1408,44394,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,790,3744,2117,4.300,0,0,0,0,0,0,0,0,0
1770618662.807,18.919,5.801,21.885,53.362,0.033,0,41943040,0,0,0,0,0,0,5110214656,609681408,2376314880,2484699136,216478,411742,8,31,0,41.960,26.620,11.350,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,41.960,26.620,11.350,5110214656,609681408,2376314880,2484699136,8,31,0,0,14,0,0,0,1073737728,0,1408,44394,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,35,2966,1643,3.400,0,0,0,0,0,0,0,0,0
1770618663.807,4.392,1.169,23.349,71.090,0,0,153649152,0,0,0,0,0,0,5116145664,602640384,2377347072,2478907392,48532,91669,0,33,1,41.960,26.620,11.350,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,41.960,26.620,11.350,5116145664,602640384,2377347072,2478907392,0,33,1,0,29,0,0,0,1073737728,0,1408,44380,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,167,5054,5425,4.900,0,0,0,0,0,0,0,0,0
1770618664.807,0,0.031,22.483,77.486,0,0,0,0,0,0,0,0,0,5115469824,603316224,2377347072,2479583232,471,452,0,33,0,41.960,26.620,11.350,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,41.960,26.620,11.350,5115469824,603316224,2377347072,2479583232,0,33,0,0,0,0,0,0,1073737728,0,1408,44380,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,23,50,34,0,0,0,0,0,0,0,0,0,0
1770618665.807,0.031,0,21.857,78.111,0,0,0,0,0,0,0,0,0,5115469824,603316224,2377347072,2479583232,509,471,0,33,0,38.600,26.180,11.290,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,38.600,26.180,11.290,5115469824,603316224,2377347072,2479583232,0,33,0,0,0,0,0,0,1073737728,0,1408,44380,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,3,30,25,0,0,0,0,0,0,0,0,0,0
1770618666.807,0,0,19.387,80.613,0,0,0,0,0,0,0,0,0,5115314176,603471872,2377347072,2479738880,602,615,0,33,0,38.600,26.180,11.290,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,38.600,26.180,11.290,5115314176,603471872,2377347072,2479738880,0,33,0,0,0,0,0,0,1073737728,0,1408,44380,0,0,0,0,0,0,0,71,1,1,0,0,1,0,0,0,0,0,1,0,0,68,0,68,0,4,43,36,0,0,0,0,0,0,0,0,0,0
