"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","64665ab8242d",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260130193859/vertx-web-kotlinx-exposed-r2dbc-postgresql/db/stats.txt",,,,"Date:","30 Jan 2026 19:54:00 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","74","75","76","77","78","79","80","81","82","83","84","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1769802840.620,29.451,7.948,61.685,0.055,0.861,14854153.202,32593634.780,2364240.448,0,0,0,0,0,1636118528,2790580224,3619917824,5944594432,86077.038,367441.958,1,0,14.681,4.440,35.680,28.950,2.820,20.011,5.404,1.336,1.539,5.895,5.169,3.312,5.788,2.404,1.813,3.620,3.414,0.965,4.106,5.357,2.542,0.966,1.682,2.307,2.956,1.493,5.436,6.890,3.014,2.411,0.841,2.162,3.676,2.233,0.581,1.664,0.578,0.760,0.022,0.026,0.062,0.047,0.119,0.039,0.148,0.842,0.018,0.014,0.018,0.120,0.047,0.024,0.079,0.023,0.158,0.040,0.523,0.223,0.021,0.045,0.020,0.424,0.386,0.014,0.017,0.046,72.236,66.836,4.440,35.680,28.950,1636118528,2790580224,3619917824,5944594432,2,0,14.681,47.071,44.433,3.972,0,0,1073737728,0,1728,67705,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,3.120,8347.859,10867.272,11663.597,2.353,0.061,0,0,0,0,0,0,0,0
1769802841.620,23.074,4.373,72.258,0.065,0.228,0,6062080,0,0,672,0,0,0,1803952128,2622615552,3620016128,5776748544,187693,351977,8,0,69,4.440,35.680,28.950,10,20,0,0,0,0,0,0,4,2,4,0,0,0,0,0,5,3,3,0,2,0,0,16,31,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,169,4.440,35.680,28.950,1803952128,2622615552,3620016128,5776748544,9,0,69,0,104,0,0,0,1073737728,0,1728,67932,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,5185,64735,32779,1.500,0,0,0,0,0,0,0,0,0
1769802842.620,20.105,4.879,75.016,0,0,0,0,0,0,336,0,0,0,1757593600,2668974080,3620016128,5823131648,222929,424137,8,0,0,4.440,35.680,28.950,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,4.440,35.680,28.950,1757593600,2668974080,3620016128,5823131648,8,0,0,0,0,0,0,0,1073737728,0,1728,67932,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,63,24705,23198,0,0,0,0,0,0,0,0,0,0
1769802843.620,19.784,5.208,74.975,0,0.033,0,0,0,0,336,0,0,0,1752383488,2674184192,3620016128,5828341760,226563,431423,9,0,0,4.440,35.680,28.950,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4.440,35.680,28.950,1752350720,2674216960,3620016128,5828374528,7,0,0,0,0,0,0,0,1073737728,0,1728,67931,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,67,23622,23619,0,0,0,0,0,0,0,0,0,0
1769802844.620,20.236,4.879,74.885,0,0,0,0,0,0,0,0,0,0,1757163520,2669404160,3620016128,5823561728,224169,426614,9,0,0,4.440,35.680,28.950,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4.440,35.680,28.950,1757163520,2669404160,3620016128,5823561728,8,0,0,0,0,0,0,0,1073737728,0,1728,67930,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,93,35639,35096,0,0,0,0,0,0,0,0,0,0
1769802845.620,19.771,5.270,74.926,0,0.033,0,0,0,0,0,0,0,0,1754542080,2672025600,3620016128,5826183168,223243,424830,6,0,0,4.880,35.250,28.840,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,4.880,35.250,28.840,1754542080,2672025600,3620016128,5826183168,8,0,0,0,0,0,0,0,1073737728,0,1728,67930,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,73,37000,37514,0,0,0,0,0,0,0,0,0,0
1769802846.620,3.885,1.105,94.946,0.063,0,0,458752,0,0,0,0,0,0,1753604096,2672963584,3620016128,5827121152,47204,89192,0,0,1,4.880,35.250,28.840,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,4.880,35.250,28.840,1753604096,2672963584,3620016128,5827121152,0,0,1,0,2,0,0,0,1073737728,0,1728,67915,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,280,10848,10708,2.100,0,0,0,0,0,0,0,0,0
1769802847.620,0,0.063,99.875,0.031,0.031,0,0,0,0,0,0,0,0,1755754496,2670813184,3620016128,5824978944,1336,2400,0,0,1,4.880,35.250,28.840,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4.880,35.250,28.840,1755754496,2670813184,3620016128,5824978944,0,0,1,0,0,0,0,0,1073737728,0,1728,67915,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,102,607,414,1.400,0,0,0,0,0,0,0,0,0
1769802848.620,0.031,0,99.969,0,0,0,0,0,0,0,0,0,0,1755754496,2670813184,3620016128,5824978944,512,509,0,0,0,4.880,35.250,28.840,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,4.880,35.250,28.840,1755754496,2670813184,3620016128,5824978944,0,0,0,0,0,0,0,0,1073737728,0,1728,67915,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,8,49,35,0,0,0,0,0,0,0,0,0,0
1769802849.620,0,0.031,99.969,0,0,0,0,0,0,0,0,0,0,1756012544,2670555136,3620016128,5824720896,591,621,0,0,0,4.880,35.250,28.840,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,4.880,35.250,28.840,1756012544,2670555136,3620016128,5824720896,0,0,0,0,0,0,0,0,1073737728,0,1728,67915,0,0,0,0,0,0,0,119,1,1,0,0,1,0,0,2096,0,0,1,0,0,116,0,116,0,7,38,36,0,0,0,0,0,0,0,0,0,0
