"dool 1.3.1 CSV output"
"Author:","Scott Baker",,,,"URL:","https://github.com/scottchiefbaker/dool/"
"Host:","ced34053a2e8",,,,"User:","ubuntu"
"Cmdline:","/usr/bin/dool -Tafilmprs --aio --fs --ipc --lock --socket --tcp --raw --udp --unix --vm --disk-util --rpc --rpcd --output /FrameworkBenchmarks/results/20260204173747/vertx-web-kotlinx-exposed-vertx-sql-client-postgresql/update/stats.txt",,,,"Date:","04 Feb 2026 17:42:03 UTC"
"epoch","total cpu usage",,,,,"dsk/vda",,"dsk/vdb",,"net/eth0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"interrupts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"load avg",,,"memory usage",,,,"procs",,,"io/vda",,"io/vdb",,"swap",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"sockets",,,,,"tcp sockets",,,,,"raw","udp",,"unix sockets",,,,"virtual memory",,,,"vda","vdb","rpc client",,,"rpc server",,,,
"epoch","usr","sys","idl","wai","stl","dsk/vda:read","dsk/vda:writ","dsk/vdb:read","dsk/vdb:writ","recv","send","in","out","used","free","cach","avai","int","csw","run","blk","new","1m","5m","15m","4","25","26","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","94","95","1m","5m","15m","used","free","cach","avai","run","blk","new","io/vda:read","io/vda:writ","io/vdb:read","io/vdb:writ","used","free","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","raw","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","vda:util","vdb:util","call","retr","refr","call","erca","erau","ercl","xdrc"
1770226923.998,2.342,0.410,93.676,3.306,0.266,51309837.419,123120619.935,1654547.168,0,0,0,10573.029,15976.352,1587671040,2622615552,3770462208,6012329984,6801.174,13339.952,5,33,9.495,2.340,1.890,1.880,3.009,1.163,134.495,6.468,13.652,5.190,14.760,9.044,11.468,10.510,12.762,10.696,7.952,19.628,11.573,13.954,14.634,5.888,9.714,6.473,12.513,4.061,6.969,3.190,6.173,2.368,9.109,10.130,4.348,8.793,8.148,4.395,2.930,8.906,4.708,0.029,0.012,0.020,0.015,0.011,0.029,0.018,0.017,0.438,0.030,0.023,0.092,0.346,0.140,0.040,0.085,0.112,0.288,0.056,0.067,0.073,0.071,0.256,0.058,0.037,0.063,0.066,0.038,0.042,0.028,0.029,0.032,201.125,113.561,2.340,1.890,1.880,1587671040,2622615552,3770462208,6012329984,2,33,9.495,113.102,155.621,3.242,0,20475904,1053261824,0,1280,85924,0,0,0,0,0,0,0,59,1,1,0,0,1,0,0,532,0,0,1,0,0,56,0,56,10.333,9090.790,17564.662,17987.348,6.229,0.041,0,0,0,0,0,0,0,0
1770226924.998,27.690,8.368,11.535,47.496,4.911,65536,26476544,0,0,672,0,8192,0,1750315008,2451832832,3778453504,5848547328,200831,379348,13,27,79,3.830,2.200,1.980,11,0,9364,0,12,0,5,10,12,1,0,4,0,0,9,0,0,0,0,0,0,0,7,6,2,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6183,5535,3.830,2.200,1.980,1750310912,2451832832,3778457600,5848547328,10,29,79,1,86,0,0,20475904,1053261824,0,1280,86161,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,21376,85975,58517,4.200,0,0,0,0,0,0,0,0,0
1770226925.998,23.140,9.334,22.944,39.393,5.189,65536,32768000,0,0,336,0,8192,0,1861398528,2329796608,3789381632,5735985152,262290,503612,8,27,0,3.830,2.200,1.980,2,0,12037,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6635,5892,3.830,2.200,1.980,1861394432,2329796608,3789385728,5735985152,8,28,0,1,10,0,0,20475904,1053261824,0,1280,86161,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,10024,74896,42007,3.300,0,0,0,0,0,0,0,0,0
1770226926.998,23.127,9.349,19.186,43.355,4.984,0,39256064,0,0,336,0,0,0,1892274176,2287439872,3800723456,5703557120,260261,499750,12,27,0,3.830,2.200,1.980,2,0,12023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6302,5797,3.830,2.200,1.980,1892274176,2287439872,3800723456,5703557120,14,29,0,0,10,0,0,20475904,1053261824,0,1280,86160,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,2733,36549,31619,3.200,0,0,0,0,0,0,0,0,0
1770226927.998,22.440,9.356,23.389,39.679,5.136,32768,171442176,0,0,0,0,4096,0,2133024768,2035105792,3812085760,5461168128,260741,500852,9,30,0,3.830,2.200,1.980,2,0,11881,1,0,0,0,0,0,0,0,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,7,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6459,5832,3.830,2.200,1.980,2133020672,2035105792,3812089856,5461168128,11,28,0,1,48,0,0,20475904,1053261824,0,1280,86161,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,1384,89256,26781,6,0,0,0,0,0,0,0,0,0
1770226928.998,22.520,9.530,22.258,40.307,5.385,0,38404096,557056,0,0,0,0,0,2131853312,2025099264,3822968832,5460951040,259318,497502,9,30,0,3.830,2.200,1.980,2,0,12039,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6449,5863,3.830,2.200,1.980,2131845120,2025099264,3822977024,5460951040,13,28,0,0,11,3,0,20475904,1053261824,0,1280,86161,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,1260,13548,10457,3.300,0.100,0,0,0,0,0,0,0,0
1770226929.998,6.203,3.676,27.699,61.503,0.919,163840,9109504,0,0,0,0,20480,0,2132811776,2020909056,3826028544,5459861504,174836,305969,3,33,1,4.090,2.280,2.010,2,0,18999,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11283,10261,4.090,2.280,2.010,2132811776,2020909056,3826028544,5459861504,4,33,1,2,6,0,0,20475904,1053261824,0,1280,86145,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,2,874,18385,17548,1.600,0,0,0,0,0,0,0,0,0
1770226930.998,3.282,2.987,4.759,88.743,0.230,0,0,0,0,0,0,0,0,2123841536,2027937792,3827826688,5468868608,161419,274928,1,33,1,4.090,2.280,2.010,2,0,20276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11987,11008,4.090,2.280,2.010,2123841536,2027937792,3827826688,5468868608,2,33,1,0,0,0,0,20475904,1053261824,0,1280,86145,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,0,1163,19259,18372,0,0,0,0,0,0,0,0,0,0
1770226931.998,3.094,2.930,8.822,84.891,0.263,131072,0,0,0,0,0,16384,0,2128138240,2021720064,3829637120,5464276992,163136,277964,2,33,0,4.090,2.280,2.010,2,0,20527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12246,11251,4.090,2.280,2.010,2128142336,2021720064,3829633024,5464276992,4,33,0,1,0,0,0,20475904,1053261824,0,1280,86145,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,44,18832,18266,0,0,0,0,0,0,0,0,0,0
1770226932.998,3.253,2.990,10.483,82.977,0.296,32768,262144,0,0,0,0,4096,0,2098450432,2049536000,3831435264,5494464512,161478,275479,2,33,0,4.090,2.280,2.010,2,0,20379,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12098,11066,4.090,2.280,2.010,2098450432,2049536000,3831435264,5494464512,3,33,0,1,2,0,0,20475904,1053261824,0,1280,86143,0,0,0,0,0,0,0,63,1,1,0,0,1,0,0,532,0,0,1,0,0,60,0,60,1,187,18539,17930,2.100,0,0,0,0,0,0,0,0,0
